# {"t_start": 1614834689.11052, "env_id": "Office-v0"} 
r,l,t
0.0,2,0.001543
0.0,10,0.001938
0.0,16,0.002519
0.0,41,0.003921
0.0,34,0.00499
0.0,7,0.005224
0.0,14,0.005668
0.0,38,0.006763
0.0,4,0.006909
0.0,69,0.008868
0.0,42,0.010057
0.0,36,0.01109
0.0,30,0.012005
0.0,4,0.012162
0.0,31,0.013114
0.0,12,0.01349
0.0,19,0.01406
0.0,19,0.014619
0.0,33,0.015572
0.0,11,0.015924
0.0,55,0.017505
0.0,32,0.018431
0.0,14,0.018856
0.0,7,0.019081
0.0,30,0.019946
0.0,13,0.020342
0.0,15,0.02079
0.0,16,0.021265
0.0,62,0.023034
0.0,12,0.023403
0.0,37,0.024462
0.0,22,0.025109
0.0,16,0.025596
0.0,32,0.026525
0.0,6,0.026723
0.0,37,0.027781
0.0,86,0.030224
0.0,19,0.030793
0.0,192,0.036204
0.0,26,0.036965
1.0,45,0.03827
0.0,41,0.039454
0.0,27,0.040239
0.0,51,0.041703
0.0,26,0.042473
0.0,48,0.043838
0.0,63,0.045627
0.0,16,0.046109
1.0,150,0.050354
0.0,25,0.051075
0.0,30,0.05194
0.0,43,0.053181
1.0,46,0.054528
0.0,124,0.058108
0.0,30,0.059017
0.0,7,0.059243
0.0,22,0.059895
0.0,65,0.061741
0.0,6,0.06194
0.0,23,0.06262
0.0,41,0.063795
0.0,91,0.066378
0.0,12,0.06674
0.0,21,0.067402
0.0,29,0.068243
0.0,114,0.071469
0.0,60,0.073164
0.0,44,0.074502
1.0,48,0.075927
0.0,72,0.078006
0.0,72,0.08005
0.0,21,0.080669
0.0,34,0.08166
0.0,45,0.082955
0.0,15,0.083411
0.0,47,0.084743
0.0,45,0.086041
0.0,87,0.088537
0.0,12,0.088904
0.0,47,0.090267
1.0,85,0.092667
0.0,115,0.095902
0.0,63,0.097709
0.0,22,0.09835
1.0,64,0.100224
0.0,103,0.103165
0.0,71,0.105196
0.0,14,0.105638
1.0,54,0.107189
0.0,38,0.10828
0.0,7,0.108506
0.0,73,0.110594
0.0,23,0.111278
0.0,55,0.112845
0.0,91,0.115412
0.0,80,0.117736
0.0,52,0.119252
0.0,51,0.120729
0.0,37,0.121807
0.0,107,0.124846
0.0,14,0.125284
0.0,75,0.127448
0.0,28,0.128274
0.0,32,0.129203
1.0,43,0.130434
0.0,10,0.13075
0.0,53,0.132236
0.0,22,0.132907
1.0,68,0.134848
0.0,258,0.142128
0.0,29,0.142986
0.0,87,0.145439
0.0,70,0.147388
0.0,15,0.147846
0.0,48,0.149212
0.0,87,0.151707
1.0,35,0.152746
0.0,97,0.155461
0.0,55,0.157037
0.0,12,0.157403
0.0,54,0.158941
0.0,66,0.160817
0.0,40,0.161965
0.0,52,0.163451
1.0,97,0.166301
0.0,22,0.166963
0.0,21,0.167574
0.0,32,0.168512
1.0,77,0.170786
0.0,32,0.171708
0.0,2,0.171793
0.0,96,0.174551
1.0,37,0.175611
0.0,118,0.179024
0.0,23,0.179708
0.0,88,0.182285
0.0,69,0.184266
0.0,56,0.185926
0.0,74,0.188067
0.0,52,0.189579
1.0,102,0.192661
0.0,42,0.193916
0.0,10,0.194242
0.0,54,0.195808
1.0,55,0.197417
0.0,120,0.200882
0.0,64,0.202796
0.0,92,0.205438
1.0,105,0.208474
0.0,74,0.21069
0.0,93,0.213357
0.0,59,0.215098
1.0,29,0.215934
0.0,97,0.218759
0.0,41,0.219919
0.0,66,0.221846
1.0,60,0.223593
1.0,292,0.231953
0.0,212,0.237994
0.0,19,0.238564
0.0,70,0.240549
1.0,151,0.24773
0.0,5,0.247976
0.0,52,0.249535
1.0,82,0.251931
0.0,73,0.25406
0.0,68,0.256055
0.0,94,0.258802
0.0,56,0.26039
1.0,308,0.26907
0.0,8,0.269338
0.0,129,0.272982
1.0,51,0.274462
0.0,73,0.276552
0.0,52,0.27805
0.0,57,0.279691
1.0,99,0.282606
1.0,115,0.285866
0.0,48,0.287256
0.0,46,0.288584
0.0,140,0.292534
0.0,11,0.292866
0.0,10,0.29318
0.0,61,0.29516
1.0,98,0.297968
1.0,235,0.3046
0.0,25,0.305347
0.0,108,0.308432
0.0,12,0.308796
0.0,74,0.310905
0.0,42,0.312128
0.0,51,0.313583
1.0,102,0.316475
0.0,76,0.318621
0.0,6,0.318821
0.0,149,0.323053
0.0,4,0.323206
0.0,132,0.326954
0.0,19,0.32752
0.0,129,0.331144
0.0,39,0.332269
1.0,208,0.338236
0.0,71,0.340305
0.0,93,0.342955
1.0,51,0.344413
0.0,44,0.345676
0.0,38,0.346765
0.0,140,0.350791
1.0,100,0.353641
0.0,24,0.354336
0.0,55,0.355912
0.0,76,0.358089
0.0,156,0.36248
0.0,82,0.36482
0.0,64,0.366643
0.0,122,0.370131
1.0,90,0.372706
1.0,119,0.376056
0.0,76,0.37824
0.0,161,0.382802
1.0,34,0.38379
1.0,234,0.390359
0.0,117,0.39378
0.0,57,0.395539
0.0,47,0.396891
1.0,188,0.402233
0.0,45,0.403537
0.0,58,0.405184
1.0,17,0.405698
0.0,29,0.406534
0.0,112,0.409679
0.0,105,0.412623
1.0,50,0.414079
0.0,18,0.414625
0.0,74,0.41673
0.0,127,0.420322
1.0,82,0.422654
0.0,4,0.4228
0.0,45,0.424097
0.0,181,0.429139
1.0,123,0.432668
0.0,82,0.435012
0.0,75,0.437139
0.0,50,0.438582
0.0,40,0.439734
1.0,139,0.443687
0.0,95,0.446411
0.0,33,0.447366
0.0,5,0.447544
1.0,184,0.452834
0.0,82,0.455189
0.0,55,0.456764
0.0,44,0.458033
0.0,41,0.459221
0.0,102,0.462086
0.0,89,0.464602
0.0,17,0.465117
1.0,276,0.472859
0.0,61,0.474624
0.0,75,0.476764
0.0,56,0.478371
1.0,167,0.483074
0.0,46,0.484408
0.0,31,0.485315
1.0,57,0.486956
0.0,9,0.487242
0.0,148,0.491422
0.0,49,0.492842
1.0,44,0.494116
1.0,145,0.498219
0.0,152,0.502546
0.0,90,0.505105
1.0,32,0.506099
1.0,200,0.511778
0.0,131,0.515506
0.0,208,0.521474
1.0,15,0.521944
1.0,162,0.526525
0.0,33,0.527482
0.0,24,0.528198
0.0,28,0.529016
1.0,164,0.533697
0.0,93,0.536341
0.0,23,0.537009
1.0,175,0.541989
0.0,66,0.543875
1.0,197,0.549418
0.0,10,0.549744
0.0,23,0.550417
1.0,277,0.558186
0.0,112,0.561359
0.0,31,0.56232
0.0,24,0.563043
0.0,14,0.563472
