# {"t_start": 1614127974.0181966, "env_id": "Water-single-M10-v0"} 
r,l,t
0.0,34,6.760392
0.0,13,6.778296
0.0,13,6.795793
0.0,18,6.81962
0.0,18,6.843541
0.0,28,6.881216
0.0,34,6.92586
0.0,58,7.003507
0.0,8,7.01444
0.0,62,7.097783
0.0,70,7.189456
0.0,48,7.252829
0.0,29,7.290893
0.0,24,7.323134
0.0,16,7.34457
0.0,10,7.357929
0.0,34,7.402442
0.0,30,7.441443
0.0,13,7.458665
0.0,10,7.47193
0.0,77,7.572898
0.0,54,7.642785
0.0,25,7.675459
0.0,97,7.801931
0.0,15,7.821644
0.0,18,7.84522
0.0,19,7.870466
0.0,28,7.907228
0.0,39,7.95809
0.0,19,7.982977
0.0,12,7.998698
0.0,58,8.29606
0.0,11,8.354765
0.0,12,8.41834
0.0,66,8.764522
0.0,14,8.83893
0.0,36,9.027558
0.0,46,9.269419
0.0,11,9.326989
0.0,63,9.657255
0.0,41,9.87467
0.0,51,10.144619
0.0,53,10.42329
0.0,52,10.696145
0.0,25,10.82884
0.0,45,11.070548
0.0,8,11.11417
0.0,71,11.485112
0.0,105,12.035604
0.0,32,12.203327
0.0,101,12.73297
0.0,62,13.061524
0.0,68,13.420833
0.0,54,13.703406
0.0,33,13.879185
0.0,13,13.948673
0.0,23,14.072732
0.0,9,14.123081
0.0,13,14.191823
0.0,85,14.636881
0.0,62,14.962984
0.0,62,15.290601
0.0,57,15.590301
0.0,81,16.020113
0.0,24,16.14658
0.0,12,16.210703
0.0,12,16.27426
0.0,33,16.447738
0.0,54,16.732458
0.0,15,16.812282
0.0,40,17.022388
0.0,11,17.080677
0.0,14,17.15488
0.0,21,17.26573
0.0,20,17.371363
0.0,17,17.461792
0.0,83,17.903214
0.0,28,18.050826
0.0,10,18.104111
0.0,15,18.183587
0.0,46,18.424097
0.0,55,18.714532
0.0,45,18.950707
0.0,62,19.279021
0.0,17,19.368774
0.0,9,19.416307
0.0,19,19.516659
0.0,34,19.694073
0.0,54,19.977867
0.0,20,20.083282
0.0,31,20.250246
0.0,12,20.313306
0.0,30,20.471892
1.0,64,20.809557
0.0,53,21.091295
0.0,16,21.175773
0.0,24,21.305256
0.0,26,21.44422
0.0,109,22.017865
0.0,22,22.138468
0.0,14,22.212395
0.0,17,22.301586
0.0,39,22.505728
0.0,31,22.668276
0.0,48,22.924646
1.0,102,23.460844
0.0,57,23.759892
0.0,78,24.172126
0.0,61,24.494344
0.0,73,24.88205
0.0,78,25.297738
0.0,86,25.750306
0.0,57,26.053861
1.0,69,26.416528
0.0,12,26.480112
0.0,19,26.580611
0.0,18,26.675801
1.0,54,26.960347
0.0,58,27.265701
0.0,10,27.318375
0.0,12,27.382208
