# {"t_start": 1599431819.539791, "env_id": "Water-M3-v0"} 
r,l,t
1.0,299,18.048121
1.0,103,18.186807
1.0,543,18.890762
1.0,399,21.298863
0.0,600,24.481013
1.0,365,26.41711
1.0,550,29.347592
1.0,481,31.891886
0.0,82,32.323872
0.0,13,32.392393
1.0,513,35.119584
1.0,142,35.872038
1.0,227,37.07919
1.0,406,39.22306
0.0,600,42.382813
0.0,600,45.544602
1.0,361,47.45206
0.0,600,50.629971
1.0,113,51.226745
0.0,10,51.280743
1.0,497,53.904742
1.0,541,56.769027
1.0,178,57.709073
1.0,260,59.080309
1.0,449,61.454336
1.0,283,62.951545
1.0,460,65.406291
0.0,600,68.558932
0.0,58,68.863439
0.0,36,69.058076
1.0,435,71.373736
1.0,249,72.686588
1.0,494,75.284973
0.0,600,78.463245
1.0,248,79.775755
0.0,600,82.961735
1.0,224,84.137355
1.0,398,86.234299
0.0,25,86.36582
0.0,99,86.887593
1.0,292,88.445194
1.0,433,90.735571
1.0,345,92.55991
1.0,409,94.710395
1.0,558,97.658657
0.0,600,100.827268
1.0,292,102.369574
0.0,600,105.557375
0.0,46,105.798941
0.0,67,106.161364
1.0,258,107.527058
0.0,600,110.696734
1.0,165,111.572901
0.0,600,114.725892
0.0,600,117.899209
1.0,330,119.653322
0.0,600,122.829571
1.0,248,124.132422
0.0,87,124.58986
0.0,27,124.731799
1.0,218,125.886496
1.0,353,127.757881
1.0,235,128.993506
1.0,531,131.814956
1.0,224,132.993788
0.0,600,136.174639
1.0,224,137.368885
0.0,600,140.551125
0.0,19,140.651654
0.0,30,140.809622
1.0,198,141.850158
1.0,45,142.086223
1.0,133,142.79042
1.0,276,144.254016
1.0,186,145.234886
1.0,495,147.854057
1.0,380,149.880073
0.0,600,153.049039
0.0,24,153.175332
0.0,13,153.244844
1.0,381,155.254455
0.0,600,158.417077
1.0,154,159.229463
1.0,300,160.808436
1.0,223,161.992782
1.0,366,163.927528
1.0,304,165.539786
0.0,600,168.713814
0.0,11,168.77246
0.0,58,169.076922
1.0,382,171.085546
1.0,243,172.362568
1.0,226,173.557296
1.0,286,175.061554
1.0,179,176.002876
1.0,366,177.941271
1.0,505,180.625669
0.0,600,183.806635
0.0,16,183.891376
0.0,26,184.030806
1.0,260,185.416159
1.0,28,185.563439
1.0,212,186.674594
0.0,600,189.857291
1.0,386,191.890136
1.0,524,194.661135
1.0,440,196.992725
1.0,447,199.350821
0.0,25,199.482573
0.0,135,200.195874
1.0,128,200.875315
1.0,212,201.991035
1.0,300,203.577172
1.0,336,205.361812
1.0,237,206.624024
1.0,430,208.889675
1.0,371,210.847798
1.0,418,213.054195
0.0,11,213.112703
0.0,53,213.392514
1.0,207,214.488078
1.0,32,214.656312
1.0,112,215.244677
1.0,325,216.958369
1.0,139,217.700076
1.0,548,220.595137
1.0,280,222.086716
1.0,469,224.56739
0.0,26,224.703652
0.0,15,224.783492
1.0,293,226.469164
1.0,229,227.679242
1.0,192,228.70262
1.0,483,231.248231
1.0,142,231.996899
1.0,502,234.658135
1.0,249,235.978686
1.0,435,238.286775
0.0,53,238.56631
0.0,20,238.672481
1.0,448,241.050292
1.0,165,241.923982
1.0,80,242.358199
1.0,225,243.570863
1.0,146,244.350327
1.0,341,246.15575
1.0,217,247.30882
0.0,600,250.493117
0.0,42,250.720794
0.0,44,250.954503
1.0,291,252.507216
1.0,78,252.915169
1.0,359,254.808586
1.0,265,256.203826
1.0,361,258.09759
1.0,289,259.614177
1.0,231,260.825973
1.0,448,263.189063
0.0,44,263.422022
0.0,120,264.056577
1.0,548,266.960672
1.0,291,268.492538
