% time spent exploring,episodes,mean 100 episode reward,steps
84,100,0.6,32081
70,200,0.7,59839
57,300,0.7,86810
45,400,0.8,110936
33,500,0.7,134741
22,600,0.7,156779
12,700,0.7,176552
2,800,0.8,196831
1,900,0.8,215466
1,1000,0.8,235009
1,1100,0.8,251735
1,1200,0.8,272186
1,1300,0.7,288970
1,1400,0.8,305952
1,1500,0.8,322266
1,1600,0.8,336761
1,1700,0.8,351473
1,1800,0.8,366273
1,1900,0.8,378938
1,2000,0.8,393092
1,2100,0.8,407011
1,2200,0.8,420016
1,2300,0.8,433383
1,2400,0.8,446079
1,2500,0.8,458786
1,2600,0.8,472285
1,2700,0.8,485306
1,2800,0.8,498184
1,2900,0.8,510378
1,3000,0.8,520757
1,3100,0.8,532557
1,3200,0.8,543871
1,3300,0.8,555840
1,3400,0.8,568418
1,3500,0.8,579663
1,3600,0.8,591263
1,3700,0.8,602039
1,3800,0.8,614963
1,3900,0.8,627612
1,4000,0.8,639824
1,4100,0.8,651988
1,4200,0.8,663599
1,4300,0.8,673982
1,4400,0.8,686079
1,4500,0.8,696404
1,4600,0.8,707698
1,4700,0.8,719310
1,4800,0.8,730316
1,4900,0.8,741462
1,5000,0.8,752107
1,5100,0.8,764286
1,5200,0.8,774332
1,5300,0.8,786676
1,5400,0.8,798837
1,5500,0.8,810552
1,5600,0.8,822439
1,5700,0.8,833445
1,5800,0.8,845340
1,5900,0.8,854993
1,6000,0.8,866449
1,6100,0.8,875428
1,6200,0.8,883684
1,6300,0.8,895035
1,6400,0.8,905776
1,6500,0.8,916615
1,6600,0.8,926228
1,6700,0.8,935663
1,6800,0.8,945014
1,6900,0.8,955155
1,7000,0.8,965593
1,7100,0.8,976105
1,7200,0.8,987168
1,7300,0.8,996640
1,7400,0.8,1007172
1,7500,0.8,1015820
1,7600,0.8,1025748
1,7700,0.8,1035253
1,7800,0.8,1044010
1,7900,0.8,1051444
1,8000,0.8,1060058
1,8100,0.8,1068849
1,8200,0.8,1078658
1,8300,0.8,1087022
1,8400,0.8,1095378
1,8500,0.8,1103279
1,8600,0.8,1111801
1,8700,0.8,1120919
1,8800,0.8,1129948
1,8900,0.8,1138131
1,9000,0.8,1146680
1,9100,0.8,1154415
1,9200,0.8,1163559
1,9300,0.8,1172989
1,9400,0.8,1182511
1,9500,0.8,1192732
1,9600,0.8,1202893
1,9700,0.8,1213016
1,9800,0.8,1222424
1,9900,0.8,1232229
1,10000,0.8,1242286
1,10100,0.8,1252615
1,10200,0.8,1262964
1,10300,0.8,1273378
1,10400,0.8,1283642
1,10500,0.8,1293728
1,10600,0.8,1302164
1,10700,0.8,1310896
1,10800,0.8,1319003
1,10900,0.8,1326409
1,11000,0.8,1335516
1,11100,0.8,1343973
1,11200,0.8,1351591
1,11300,0.8,1359822
1,11400,0.8,1367723
1,11500,0.8,1376605
1,11600,0.8,1385045
1,11700,0.8,1392764
1,11800,0.8,1401243
1,11900,0.8,1409322
1,12000,0.8,1418818
1,12100,0.8,1428017
1,12200,0.8,1438095
1,12300,0.8,1446978
1,12400,0.8,1455827
1,12500,0.8,1464952
1,12600,0.8,1473220
1,12700,0.8,1483001
1,12800,0.8,1491771
1,12900,0.8,1501835
1,13000,0.8,1510932
1,13100,0.8,1519232
1,13200,0.8,1528667
1,13300,0.8,1536690
1,13400,0.8,1544590
1,13500,0.8,1552769
1,13600,0.8,1560640
1,13700,0.8,1568768
1,13800,0.8,1576968
1,13900,0.8,1585947
1,14000,0.8,1594541
1,14100,0.8,1603379
1,14200,0.8,1612340
1,14300,0.8,1621411
1,14400,0.8,1630985
1,14500,0.8,1640662
1,14600,0.8,1649842
1,14700,0.8,1660377
1,14800,0.8,1670791
1,14900,0.7,1681721
1,15000,0.8,1692701
1,15100,0.8,1702525
1,15200,0.8,1712409
1,15300,0.7,1723179
1,15400,0.8,1733456
1,15500,0.8,1743492
1,15600,0.8,1753553
1,15700,0.8,1763252
1,15800,0.8,1771887
1,15900,0.8,1781041
1,16000,0.8,1789701
1,16100,0.8,1798742
1,16200,0.8,1805688
1,16300,0.8,1815764
1,16400,0.8,1824429
1,16500,0.8,1833152
1,16600,0.8,1841297
1,16700,0.8,1849999
1,16800,0.8,1858137
1,16900,0.9,1866283
1,17000,0.8,1874767
1,17100,0.8,1884330
1,17200,0.8,1894083
1,17300,0.8,1902959
1,17400,0.8,1912359
1,17500,0.8,1921169
1,17600,0.9,1930699
1,17700,0.9,1938513
1,17800,0.8,1948707
1,17900,0.9,1955574
1,18000,0.9,1964005
1,18100,0.9,1971814
1,18200,0.9,1981199
1,18300,0.9,1991011
