# {"t_start": 1599073352.2100878, "env_id": "Half-Cheetah-RM11-v0"} 
r,l,t
-565.404111,1000,13.330999
-578.384975,1000,18.721029
-577.422886,1000,24.167965
-597.293659,1000,29.615043
-596.430329,1000,35.151007
-597.065375,1000,40.690259
-597.339824,1000,46.216192
-596.906963,1000,51.74295
-597.24737,1000,57.273626
-578.094888,1000,62.759867
-597.463861,1000,68.259813
-596.264407,1000,73.766326
-579.778051,1000,79.32948
-579.777157,1000,84.876829
-584.882902,1000,90.396548
-592.016884,1000,95.888122
-576.491771,1000,101.386424
-577.60771,1000,106.937654
-583.474022,1000,112.538779
-580.013725,1000,118.129219
-578.473777,1000,123.749788
-575.840239,1000,129.333482
-578.588065,1000,134.933434
-579.285858,1000,140.54406
-579.066644,1000,146.159745
-593.497457,1000,151.821812
-599.951841,1000,157.431127
-599.999787,1000,163.046482
-592.529088,1000,168.687443
-599.860855,1000,174.373063
-599.894822,1000,180.094354
-599.888202,1000,185.879013
-599.7935,1000,191.687803
-599.526793,1000,197.584628
-599.877914,1000,203.521306
-599.880842,1000,209.476844
-599.80709,1000,215.492494
-599.895075,1000,221.568752
-599.83979,1000,227.64297
-599.801778,1000,233.708936
-599.857163,1000,239.779071
-599.885915,1000,245.877534
-599.828973,1000,251.986367
-599.797955,1000,258.089728
-599.863971,1000,264.216525
-599.595742,1000,270.323538
-599.880761,1000,276.437742
-599.833852,1000,282.543826
-599.91305,1000,288.661219
-599.872305,1000,294.75995
-599.736094,1000,300.841814
-599.586016,1000,306.954142
-599.734325,1000,313.035374
-599.860734,1000,319.162533
-599.775905,1000,325.289376
-599.785943,1000,331.406159
-599.848354,1000,337.532259
-599.751365,1000,343.73052
-599.837619,1000,349.931961
-599.712436,1000,356.140003
-599.848025,1000,362.330593
-599.898937,1000,368.486645
-599.832021,1000,374.637888
-599.767759,1000,380.793581
-599.90917,1000,386.944364
-599.795128,1000,393.086792
-599.689745,1000,399.234202
-599.777775,1000,405.383558
-599.78217,1000,411.538679
-599.861637,1000,417.708593
-599.320496,1000,423.948584
-599.768813,1000,430.118455
-599.868447,1000,436.279316
-599.580331,1000,442.436031
-599.756009,1000,448.595064
-599.854069,1000,454.739491
-599.823599,1000,460.950479
-599.70288,1000,467.052996
-599.816649,1000,473.180337
-599.874571,1000,479.317428
-599.771601,1000,485.476008
-599.791212,1000,491.642098
-599.803262,1000,497.814373
-599.77923,1000,503.980468
-599.862452,1000,510.161122
-599.882607,1000,516.362421
-599.663476,1000,522.549938
-599.73164,1000,528.760515
-599.893108,1000,534.962151
-599.892607,1000,541.186763
-599.73228,1000,547.418985
-599.786275,1000,553.66682
-599.947268,1000,559.894578
-599.857855,1000,566.101771
-599.824243,1000,572.329086
-599.878614,1000,578.536306
-599.828839,1000,584.759106
-599.872681,1000,590.976357
-599.913283,1000,597.209525
-599.805037,1000,603.464009
-599.831035,1000,609.893068
-599.793553,1000,616.171148
-599.858322,1000,622.456547
-599.872124,1000,628.752511
-599.859071,1000,635.016389
-599.848311,1000,641.288408
-599.90276,1000,647.556829
-599.669502,1000,653.819269
-599.878377,1000,660.016687
-599.843338,1000,666.204389
-599.888837,1000,672.440622
-599.86917,1000,678.71034
-599.772129,1000,684.983738
-599.906931,1000,691.28465
-599.856863,1000,697.571809
-599.75944,1000,703.844162
-599.747862,1000,710.11525
-599.804361,1000,716.402461
-599.856283,1000,723.424016
-599.789213,1000,729.679945
-599.902355,1000,735.947356
-599.123007,1000,742.217615
-599.861374,1000,748.490816
-599.744274,1000,754.755049
-599.786993,1000,761.014999
-599.670259,1000,767.286966
-599.801008,1000,773.544851
-599.862433,1000,779.81399
-599.897458,1000,786.080653
-599.73648,1000,792.333446
-599.800852,1000,798.591869
-599.804004,1000,804.875121
-599.873747,1000,811.152751
-599.706501,1000,817.425871
-599.704607,1000,823.695478
-598.825366,1000,829.9842
-599.644708,1000,836.229162
-599.723415,1000,842.479072
-599.808544,1000,848.774483
-599.643121,1000,855.086182
-599.844603,1000,861.414783
-599.780353,1000,867.763094
-599.817577,1000,874.127272
-599.881497,1000,880.517095
-599.753723,1000,886.902223
-599.693704,1000,893.291365
-599.747808,1000,899.676509
-599.858303,1000,906.068186
-599.876387,1000,912.451774
-599.779647,1000,918.871646
-599.877766,1000,925.29998
-599.850888,1000,931.734425
-599.741212,1000,938.149298
-599.776815,1000,944.584449
-599.906486,1000,951.026472
-599.877938,1000,957.411825
-599.822665,1000,963.787474
-599.901805,1000,970.200814
-599.876417,1000,976.677899
-599.888524,1000,983.164569
-599.846014,1000,989.656387
-599.65216,1000,996.155931
-599.802109,1000,1002.685677
-599.864631,1000,1009.170192
-599.870726,1000,1015.677251
-599.715594,1000,1022.200445
-599.516317,1000,1028.704713
-599.702413,1000,1035.203073
-599.780544,1000,1041.698571
-599.82581,1000,1048.214804
-599.879074,1000,1054.746182
-599.605372,1000,1061.287917
-599.783025,1000,1067.829072
-599.866375,1000,1074.413445
-599.886081,1000,1081.046785
-599.661381,1000,1087.680416
-599.615734,1000,1094.32726
-599.858882,1000,1100.993599
-599.850698,1000,1107.732787
-599.89908,1000,1114.512422
-599.812581,1000,1121.304761
-599.852035,1000,1128.102606
-599.849469,1000,1134.921285
-599.869128,1000,1141.751039
-599.788831,1000,1148.575794
-599.841194,1000,1155.39498
-599.840012,1000,1162.254671
-599.876436,1000,1169.114564
-599.81165,1000,1175.96762
-599.844834,1000,1182.831029
-599.886776,1000,1189.716226
-599.93013,1000,1196.575887
-599.702761,1000,1203.455678
-599.625173,1000,1210.30904
-599.899959,1000,1217.177557
-599.844088,1000,1224.059662
-599.887462,1000,1230.92422
-599.914545,1000,1237.79733
-599.603476,1000,1244.685653
-599.061905,1000,1251.583697
-599.81289,1000,1258.496957
-599.87469,1000,1265.401427
-599.674667,1000,1272.325593
-599.871046,1000,1279.300452
-599.883452,1000,1286.205659
-598.342091,1000,1293.125194
-599.883775,1000,1300.060062
-599.908989,1000,1306.968745
-599.756938,1000,1313.877804
-599.806673,1000,1320.790706
-599.811329,1000,1327.748461
-599.678495,1000,1334.715967
-599.777588,1000,1341.662162
-599.852178,1000,1348.620955
-599.80155,1000,1355.585617
-599.705073,1000,1362.542323
-599.896907,1000,1369.513602
-599.857632,1000,1376.461295
-599.721081,1000,1383.407746
-599.877583,1000,1390.37699
-599.830925,1000,1397.328728
-599.885341,1000,1404.293643
-599.836049,1000,1411.267624
-599.784326,1000,1418.261301
-599.855357,1000,1425.254938
-599.779751,1000,1432.236417
-599.745211,1000,1439.2358
-599.808045,1000,1446.273539
-599.936038,1000,1453.285232
-599.878604,1000,1460.314179
-599.736229,1000,1467.339745
-599.473941,1000,1474.390434
-599.667059,1000,1481.429871
-599.852567,1000,1488.471441
-599.778712,1000,1495.509633
-599.720363,1000,1502.522667
-599.811547,1000,1509.445855
-599.935534,1000,1516.432966
-599.873727,1000,1523.497091
-599.747626,1000,1530.546448
-599.885786,1000,1537.589849
-599.842499,1000,1544.649358
-599.702897,1000,1551.716966
-599.884261,1000,1558.797909
-599.889908,1000,1565.864318
-599.865276,1000,1572.931009
-599.591806,1000,1579.998071
-599.773899,1000,1587.066914
-599.884491,1000,1594.12518
-599.960453,1000,1601.207097
-599.91609,1000,1608.273769
-599.721685,1000,1615.357
-599.634332,1000,1622.425427
-599.811153,1000,1631.320319
-599.737968,1000,1638.385242
-599.765743,1000,1645.448874
-599.881199,1000,1652.537192
-599.869775,1000,1659.621716
-599.843042,1000,1666.716312
-599.867124,1000,1673.80017
-599.84199,1000,1680.903469
-599.783482,1000,1688.022312
-599.81275,1000,1695.091832
-599.848755,1000,1702.092056
-599.787119,1000,1709.106549
-599.831352,1000,1716.176232
-599.742029,1000,1723.24626
-599.801675,1000,1730.337459
-599.790595,1000,1737.406918
-599.95447,1000,1744.473614
-599.887145,1000,1751.549757
-599.889486,1000,1758.652098
-599.877486,1000,1765.722882
-599.588814,1000,1772.828519
-599.915367,1000,1780.014405
-599.584795,1000,1787.099035
-589.54418,1000,1794.185868
-596.768771,1000,1801.276138
-597.141929,1000,1808.362383
-595.285975,1000,1815.46306
-595.189193,1000,1822.479366
-595.160101,1000,1829.477183
-595.582593,1000,1836.565527
-596.081462,1000,1844.111087
-595.821641,1000,1851.221471
-595.067853,1000,1858.343457
-594.835138,1000,1865.46434
-596.626815,1000,1872.57076
-595.395329,1000,1879.684578
-596.090933,1000,1886.779869
-595.944272,1000,1893.888248
-595.533263,1000,1900.995674
-596.470384,1000,1908.072322
-596.946083,1000,1915.16169
-597.125519,1000,1922.285908
-595.098286,1000,1929.400689
-595.946521,1000,1936.507207
-594.996663,1000,1943.64599
-595.064754,1000,1950.778279
-595.871838,1000,1957.920415
-597.310178,1000,1965.044173
-595.342074,1000,1972.163112
-596.049587,1000,1979.274098
-596.228758,1000,1986.483136
-595.942975,1000,1993.590977
-595.617778,1000,2000.716216
-595.76413,1000,2007.827634
-596.902562,1000,2014.94433
-595.353392,1000,2022.081824
-596.613553,1000,2029.21229
-594.991668,1000,2036.345157
-595.3557,1000,2043.471244
-596.533659,1000,2050.594876
-595.219726,1000,2057.716937
-595.323466,1000,2064.83533
-597.00265,1000,2071.977894
-595.788717,1000,2079.101304
-595.192604,1000,2086.240247
-595.18116,1000,2093.368616
-595.29104,1000,2100.505163
-595.123618,1000,2107.696291
-596.560671,1000,2114.863036
-596.022897,1000,2121.995609
-597.126793,1000,2129.12223
-595.318694,1000,2136.269154
-595.184602,1000,2143.411047
-597.250763,1000,2150.573436
-596.765388,1000,2157.729707
-597.271387,1000,2164.894008
-595.296873,1000,2172.09947
-595.051135,1000,2179.25634
-596.958626,1000,2186.421324
-595.826603,1000,2193.635504
-596.113598,1000,2200.800862
-595.161849,1000,2207.954
-595.28816,1000,2215.107136
-595.28868,1000,2222.269104
-597.366597,1000,2229.426146
-595.430086,1000,2237.219258
-595.205669,1000,2244.580403
-596.84389,1000,2251.743611
-596.278123,1000,2258.887355
-595.455461,1000,2266.02719
-595.324901,1000,2273.19376
-595.983206,1000,2280.347327
