episodes,mean 100 episode reward,steps
100,-578.5,98999
200,-599.5,198999
300,-599.6,298999
400,-599.5,398999
500,-599.5,498999
600,-599.6,598999
700,-599.5,698999
800,-599.5,798999
900,-599.6,898999
1000,-599.6,998999
1100,-599.6,1098999
1200,-599.6,1198999
1300,-599.6,1298999
1400,-599.5,1398999
1500,-599.6,1498999
1600,-599.6,1598999
1700,-599.6,1698999
1800,-599.5,1798999
1900,-599.5,1898999
2000,-599.6,1998999
2100,-599.6,2098999
2200,-599.6,2198999
2300,-599.6,2298999
2400,-599.6,2398999
2500,-599.6,2498999
2600,-599.6,2598999
2700,-599.5,2698999
2800,-599.6,2798999
2900,-599.6,2898999
3000,-599.7,2998999
