# {"t_start": 1598498358.8047447, "env_id": "Craft-M7-v0"} 
r,l,t
0.0,1000,1.963465
0.0,1000,3.930888
0.0,1000,5.894112
0.0,1000,7.858522
0.0,1000,9.832559
0.0,1000,11.839467
0.0,1000,13.813541
0.0,1000,15.865963
0.0,1000,17.834004
0.0,1000,19.8303
0.0,1000,21.90187
0.0,1000,23.956541
0.0,1000,26.140984
0.0,1000,28.115679
1.0,664,29.425628
0.0,1000,31.430913
0.0,1000,33.446695
0.0,1000,35.471
0.0,1000,37.486969
0.0,1000,39.6365
0.0,1000,41.690447
0.0,1000,43.780146
0.0,1000,45.902092
0.0,1000,49.041535
0.0,1000,51.252097
0.0,1000,53.473801
0.0,1000,55.544723
0.0,1000,57.571165
0.0,1000,59.693858
0.0,1000,61.717461
1.0,209,62.142754
1.0,664,63.510975
1.0,766,65.179163
0.0,1000,67.250852
0.0,1000,69.348094
0.0,1000,71.376865
0.0,1000,73.443867
0.0,1000,75.555574
0.0,1000,77.567052
0.0,1000,79.648373
1.0,139,79.955241
0.0,1000,82.117915
1.0,277,82.673679
1.0,704,84.09431
1.0,271,84.690415
0.0,1000,86.851226
1.0,600,88.196679
0.0,1000,90.214625
0.0,1000,92.220935
0.0,1000,94.353373
0.0,1000,96.472411
1.0,255,96.9879
1.0,290,97.570153
0.0,1000,99.650746
1.0,267,100.185021
1.0,676,101.538924
0.0,1000,103.546011
0.0,1000,105.590314
1.0,294,106.181215
0.0,1000,108.18869
0.0,1000,110.199027
0.0,1000,112.233055
1.0,731,113.716016
1.0,331,114.384344
1.0,557,115.50603
1.0,648,116.864164
0.0,1000,119.060508
0.0,1000,121.069746
0.0,1000,123.078402
1.0,780,124.718482
1.0,304,125.328905
1.0,140,125.610301
1.0,859,127.397442
1.0,979,129.365287
1.0,745,130.903988
1.0,434,131.912416
0.0,1000,134.105423
1.0,488,135.086079
1.0,374,135.839561
0.0,1000,137.848491
1.0,883,139.645812
1.0,104,139.854101
1.0,824,141.507284
1.0,608,142.730866
1.0,229,143.197005
1.0,260,143.726038
1.0,395,144.559612
1.0,336,145.365908
1.0,192,145.771905
0.0,1000,147.812635
0.0,1000,149.87412
1.0,417,150.786385
1.0,107,151.029008
1.0,221,151.475308
1.0,892,153.269701
0.0,1000,155.334594
0.0,1000,157.463215
0.0,1000,159.47359
1.0,298,160.072628
0.0,1000,162.307607
1.0,141,162.590859
0.0,1000,164.703373
1.0,455,165.793142
1.0,270,166.354429
1.0,101,166.573686
1.0,169,166.913505
1.0,587,168.090047
1.0,82,168.253437
1.0,866,169.990523
1.0,411,170.88159
1.0,63,171.031814
1.0,90,171.230626
1.0,200,171.631824
1.0,589,172.924266
1.0,586,174.144778
1.0,463,175.126547
1.0,340,175.848208
1.0,392,176.744389
0.0,1000,178.781922
1.0,404,179.631351
1.0,169,179.973112
1.0,42,180.057724
0.0,1000,182.069677
1.0,571,183.32755
1.0,77,183.509227
0.0,1000,185.727692
0.0,1000,187.976965
1.0,519,189.108919
1.0,214,189.537939
0.0,1000,191.605611
1.0,849,193.34284
1.0,38,193.430872
1.0,440,194.31633
1.0,594,195.514079
1.0,82,195.677118
1.0,406,196.518321
0.0,1000,198.653535
1.0,106,198.906064
1.0,76,199.085948
1.0,980,201.056199
1.0,256,201.569463
1.0,28,201.625396
1.0,190,202.007682
1.0,661,203.346165
1.0,345,204.043135
0.0,1000,206.060829
0.0,1000,208.084937
1.0,42,208.169152
1.0,341,208.852883
1.0,408,209.712574
1.0,340,210.425915
1.0,56,210.538577
1.0,595,211.740344
1.0,417,212.580052
1.0,290,213.161097
0.0,1000,215.242368
1.0,171,215.586241
1.0,318,216.259583
1.0,106,216.47247
1.0,924,218.348953
1.0,77,218.519848
1.0,46,218.62959
1.0,547,219.918671
1.0,320,220.658547
1.0,253,221.16666
0.0,1000,223.17426
0.0,1000,225.182141
1.0,254,225.692777
1.0,516,226.733274
0.0,1000,228.866963
1.0,387,229.704466
1.0,32,229.768515
1.0,117,230.004481
1.0,213,230.434168
1.0,71,230.576296
1.0,243,231.064338
1.0,379,231.824523
0.0,1000,233.877342
1.0,88,234.057994
1.0,452,234.973361
1.0,27,235.0278
0.0,1000,237.038319
