episodes,steps,total reward
9,10000,0.0
19,20000,0.0
32,30000,5.0
46,40000,8.0
57,50000,4.0
74,60000,12.0
86,70000,4.0
103,80000,11.0
126,90000,21.0
147,100000,17.0
170,110000,18.0
192,120000,18.0
219,130000,24.0
258,140000,35.0
296,150000,36.0
343,160000,44.0
427,170000,82.0
499,180000,69.0
607,190000,106.0
717,200000,108.0
875,210000,157.0
1036,220000,161.0
1214,230000,178.0
1319,240000,101.0
1483,250000,164.0
1641,260000,158.0
1799,270000,157.0
1959,280000,159.0
2125,290000,165.0
2286,300000,159.0
2466,310000,179.0
2642,320000,176.0
2826,330000,183.0
3008,340000,181.0
3202,350000,194.0
3381,360000,179.0
3583,370000,202.0
3781,380000,197.0
3999,390000,218.0
4209,400000,210.0
4411,410000,202.0
4596,420000,184.0
4799,430000,203.0
4988,440000,188.0
5206,450000,218.0
5405,460000,199.0
5618,470000,213.0
5826,480000,208.0
6039,490000,213.0
6243,500000,204.0
6439,510000,196.0
6659,520000,220.0
6873,530000,214.0
7082,540000,209.0
7274,550000,191.0
7486,560000,212.0
7706,570000,220.0
7870,580000,164.0
8091,590000,221.0
8314,600000,223.0
8527,610000,213.0
8722,620000,196.0
8942,630000,219.0
9153,640000,211.0
9353,650000,200.0
9560,660000,208.0
9769,670000,208.0
9981,680000,212.0
10191,690000,210.0
10399,700000,208.0
10616,710000,217.0
10837,720000,221.0
11038,730000,201.0
11262,740000,224.0
11458,750000,196.0
11673,760000,215.0
11891,770000,218.0
12089,780000,198.0
12305,790000,216.0
12516,800000,211.0
12717,810000,201.0
12922,820000,205.0
13143,830000,221.0
13346,840000,203.0
13555,850000,209.0
13776,860000,221.0
13979,870000,203.0
14195,880000,216.0
14417,890000,222.0
14626,900000,209.0
14847,910000,221.0
15065,920000,218.0
15278,930000,213.0
15497,940000,220.0
15717,950000,219.0
15936,960000,219.0
16153,970000,217.0
16375,980000,222.0
16599,990000,224.0
16822,1000000,223.0
17034,1010000,212.0
17233,1020000,199.0
17445,1030000,212.0
17665,1040000,221.0
17881,1050000,215.0
18098,1060000,217.0
18317,1070000,219.0
18535,1080000,218.0
18748,1090000,213.0
18968,1100000,220.0
19181,1110000,213.0
19388,1120000,207.0
19591,1130000,203.0
19806,1140000,215.0
20022,1150000,216.0
20244,1160000,222.0
20463,1170000,219.0
20683,1180000,220.0
20898,1190000,215.0
21102,1200000,204.0
21320,1210000,218.0
21543,1220000,223.0
21753,1230000,210.0
21975,1240000,222.0
22177,1250000,202.0
22399,1260000,222.0
22608,1270000,209.0
22830,1280000,222.0
23049,1290000,219.0
23263,1300000,214.0
23479,1310000,216.0
23696,1320000,217.0
23909,1330000,213.0
24125,1340000,216.0
24341,1350000,216.0
24562,1360000,221.0
24782,1370000,220.0
25003,1380000,221.0
25224,1390000,221.0
25448,1400000,224.0
25658,1410000,210.0
25875,1420000,217.0
26094,1430000,219.0
26313,1440000,219.0
26533,1450000,220.0
26750,1460000,217.0
26970,1470000,220.0
27186,1480000,216.0
27397,1490000,211.0
27613,1500000,216.0
27834,1510000,221.0
28054,1520000,220.0
28269,1530000,215.0
28484,1540000,215.0
28698,1550000,214.0
28914,1560000,216.0
29133,1570000,219.0
29356,1580000,223.0
29576,1590000,220.0
29792,1600000,216.0
29999,1610000,207.0
30211,1620000,212.0
30436,1630000,225.0
30654,1640000,218.0
30875,1650000,221.0
31092,1660000,217.0
31309,1670000,217.0
31531,1680000,222.0
31749,1690000,218.0
31959,1700000,210.0
32179,1710000,220.0
32400,1720000,221.0
32616,1730000,216.0
32833,1740000,217.0
33046,1750000,213.0
33266,1760000,220.0
33486,1770000,220.0
33696,1780000,210.0
33913,1790000,217.0
34129,1800000,216.0
34347,1810000,218.0
34567,1820000,220.0
34781,1830000,214.0
35003,1840000,222.0
35210,1850000,207.0
35428,1860000,218.0
35647,1870000,219.0
35868,1880000,221.0
36088,1890000,220.0
36302,1900000,214.0
36516,1910000,214.0
36726,1920000,210.0
36948,1930000,222.0
37162,1940000,214.0
37381,1950000,219.0
37600,1960000,219.0
37819,1970000,219.0
38039,1980000,220.0
38262,1990000,223.0
38485,2000000,223.0
