# {"t_start": 1598544193.5257347, "env_id": "Office-v0"} 
r,l,t
0.0,20,0.008556
0.0,39,0.022746
0.0,4,0.024255
0.0,22,0.032294
0.0,37,0.045826
0.0,10,0.04951
0.0,27,0.059339
0.0,21,0.067013
0.0,25,0.07625
0.0,58,0.097327
0.0,133,0.145786
0.0,89,0.178035
1.0,42,0.193446
0.0,137,0.245145
0.0,53,0.264596
0.0,67,0.288827
1.0,37,0.302228
0.0,43,0.317832
0.0,15,0.323335
0.0,132,0.371087
1.0,14,0.376257
0.0,44,0.392216
0.0,122,0.436482
0.0,50,0.454765
1.0,20,0.462041
0.0,130,0.50904
0.0,27,0.518921
0.0,89,0.55089
1.0,35,0.563689
0.0,29,0.574347
0.0,61,0.596595
0.0,97,0.632168
1.0,30,0.643141
1.0,235,0.727829
0.0,44,0.743212
1.0,71,0.769268
1.0,26,0.77866
0.0,104,0.816324
0.0,64,0.839446
0.0,69,0.864228
1.0,17,0.870399
0.0,54,0.890116
0.0,31,0.90117
0.0,98,0.936822
1.0,13,0.941574
0.0,50,0.959745
0.0,26,0.969352
1.0,303,1.077605
1.0,11,1.081642
0.0,38,1.095371
1.0,103,1.132391
1.0,158,1.189778
1.0,15,1.195188
0.0,60,1.216927
0.0,196,1.287552
1.0,54,1.3074
1.0,15,1.312898
0.0,83,1.343002
0.0,9,1.346328
1.0,61,1.368479
1.0,26,1.37802
0.0,12,1.382502
0.0,10,1.386211
0.0,8,1.389171
1.0,13,1.393931
0.0,17,1.400209
0.0,27,1.410264
1.0,169,1.472348
1.0,11,1.476468
0.0,22,1.484604
0.0,175,1.549121
1.0,92,1.582977
1.0,13,1.587796
0.0,46,1.604949
0.0,136,1.655189
0.0,6,1.657532
1.0,13,1.662235
1.0,132,1.71044
0.0,130,1.757575
0.0,40,1.771832
1.0,12,1.776132
0.0,154,1.832009
1.0,56,1.852242
0.0,6,1.854457
0.0,12,1.858837
0.0,72,1.885002
0.0,106,1.923429
0.0,8,1.926448
1.0,11,1.930399
0.0,25,1.939584
0.0,4,1.941101
1.0,37,1.95469
1.0,13,1.959456
0.0,47,1.976743
0.0,23,1.984917
1.0,50,2.003052
1.0,12,2.007507
1.0,170,2.070292
1.0,78,2.098962
0.0,47,2.116318
1.0,11,2.120444
0.0,144,2.173622
1.0,300,2.28531
1.0,88,2.317674
1.0,12,2.322067
1.0,82,2.351912
1.0,57,2.372308
1.0,83,2.402327
1.0,12,2.406668
1.0,131,2.454197
0.0,42,2.469688
1.0,37,2.483356
1.0,12,2.487685
0.0,24,2.496418
1.0,27,2.506049
1.0,39,2.520332
1.0,15,2.52578
0.0,80,2.554714
1.0,52,2.573559
0.0,34,2.585687
1.0,11,2.589735
0.0,30,2.600616
0.0,27,2.610412
1.0,87,2.641725
1.0,13,2.646403
1.0,65,2.670146
1.0,103,2.707321
0.0,20,2.714535
1.0,11,2.71859
0.0,63,2.741637
0.0,49,2.759438
0.0,83,2.789326
1.0,11,2.793375
0.0,39,2.807599
0.0,58,2.828691
0.0,6,2.830923
1.0,11,2.834905
1.0,76,2.862558
1.0,61,2.884492
0.0,37,2.898028
1.0,11,2.902024
1.0,93,2.935756
1.0,94,2.969769
1.0,44,2.985941
1.0,11,2.989927
1.0,90,3.022428
1.0,38,3.036032
1.0,63,3.0587
1.0,13,3.063354
0.0,65,3.087005
1.0,114,3.128255
1.0,51,3.146837
1.0,11,3.150822
1.0,33,3.162831
0.0,6,3.165105
1.0,32,3.176875
1.0,16,3.182645
0.0,35,3.195404
1.0,78,3.223414
1.0,38,3.237436
1.0,11,3.24144
1.0,46,3.258153
1.0,157,3.315233
1.0,55,3.334917
1.0,12,3.339295
1.0,75,3.366715
1.0,38,3.380177
1.0,27,3.390072
1.0,11,3.394037
0.0,34,3.406335
1.0,57,3.426956
1.0,39,3.441219
1.0,11,3.445204
1.0,71,3.471054
1.0,64,3.49423
1.0,28,3.504483
1.0,11,3.508493
1.0,66,3.532431
0.0,11,3.536379
1.0,35,3.549106
1.0,11,3.553072
1.0,94,3.587298
1.0,40,3.601519
1.0,60,3.623487
1.0,11,3.627501
0.0,24,3.636272
1.0,51,3.655221
0.0,4,3.65679
1.0,12,3.661227
0.0,4,3.662693
1.0,58,3.683745
1.0,38,3.69766
1.0,14,3.70268
1.0,91,3.73592
0.0,7,3.738506
1.0,32,3.750198
1.0,15,3.755642
0.0,52,3.774587
1.0,39,3.788593
1.0,30,3.799494
0.0,8,3.802486
