r,l,rm
1.0,342,../experiments/water/reward_machines/t1.txt
1.0,158,../experiments/water/reward_machines/t2.txt
1.0,551,../experiments/water/reward_machines/t3.txt
1.0,560,../experiments/water/reward_machines/t4.txt
1.0,541,../experiments/water/reward_machines/t5.txt
1.0,266,../experiments/water/reward_machines/t6.txt
1.0,528,../experiments/water/reward_machines/t7.txt
0.0,600,../experiments/water/reward_machines/t8.txt
0.0,24,../experiments/water/reward_machines/t9.txt
0.0,8,../experiments/water/reward_machines/t10.txt
1.0,321,../experiments/water/reward_machines/t1.txt
1.0,176,../experiments/water/reward_machines/t2.txt
0.0,600,../experiments/water/reward_machines/t3.txt
1.0,352,../experiments/water/reward_machines/t4.txt
1.0,172,../experiments/water/reward_machines/t5.txt
1.0,403,../experiments/water/reward_machines/t6.txt
1.0,380,../experiments/water/reward_machines/t7.txt
0.0,600,../experiments/water/reward_machines/t8.txt
0.0,8,../experiments/water/reward_machines/t9.txt
0.0,20,../experiments/water/reward_machines/t10.txt
1.0,164,../experiments/water/reward_machines/t1.txt
1.0,350,../experiments/water/reward_machines/t2.txt
1.0,53,../experiments/water/reward_machines/t3.txt
0.0,600,../experiments/water/reward_machines/t4.txt
1.0,323,../experiments/water/reward_machines/t5.txt
1.0,113,../experiments/water/reward_machines/t6.txt
1.0,406,../experiments/water/reward_machines/t7.txt
0.0,600,../experiments/water/reward_machines/t8.txt
0.0,79,../experiments/water/reward_machines/t9.txt
0.0,74,../experiments/water/reward_machines/t10.txt
1.0,118,../experiments/water/reward_machines/t1.txt
1.0,210,../experiments/water/reward_machines/t2.txt
1.0,351,../experiments/water/reward_machines/t3.txt
1.0,297,../experiments/water/reward_machines/t4.txt
0.0,600,../experiments/water/reward_machines/t5.txt
0.0,600,../experiments/water/reward_machines/t6.txt
0.0,600,../experiments/water/reward_machines/t7.txt
1.0,539,../experiments/water/reward_machines/t8.txt
0.0,12,../experiments/water/reward_machines/t9.txt
0.0,48,../experiments/water/reward_machines/t10.txt
1.0,282,../experiments/water/reward_machines/t1.txt
1.0,49,../experiments/water/reward_machines/t2.txt
1.0,193,../experiments/water/reward_machines/t3.txt
1.0,354,../experiments/water/reward_machines/t4.txt
1.0,269,../experiments/water/reward_machines/t5.txt
1.0,422,../experiments/water/reward_machines/t6.txt
1.0,532,../experiments/water/reward_machines/t7.txt
0.0,600,../experiments/water/reward_machines/t8.txt
0.0,39,../experiments/water/reward_machines/t9.txt
0.0,6,../experiments/water/reward_machines/t10.txt
1.0,162,../experiments/water/reward_machines/t1.txt
1.0,210,../experiments/water/reward_machines/t2.txt
1.0,242,../experiments/water/reward_machines/t3.txt
1.0,197,../experiments/water/reward_machines/t4.txt
1.0,192,../experiments/water/reward_machines/t5.txt
1.0,502,../experiments/water/reward_machines/t6.txt
1.0,500,../experiments/water/reward_machines/t7.txt
0.0,600,../experiments/water/reward_machines/t8.txt
0.0,12,../experiments/water/reward_machines/t9.txt
0.0,16,../experiments/water/reward_machines/t10.txt
1.0,169,../experiments/water/reward_machines/t1.txt
1.0,533,../experiments/water/reward_machines/t2.txt
1.0,125,../experiments/water/reward_machines/t3.txt
1.0,505,../experiments/water/reward_machines/t4.txt
1.0,558,../experiments/water/reward_machines/t5.txt
1.0,535,../experiments/water/reward_machines/t6.txt
0.0,600,../experiments/water/reward_machines/t7.txt
0.0,600,../experiments/water/reward_machines/t8.txt
0.0,6,../experiments/water/reward_machines/t9.txt
0.0,8,../experiments/water/reward_machines/t10.txt
1.0,222,../experiments/water/reward_machines/t1.txt
1.0,162,../experiments/water/reward_machines/t2.txt
1.0,242,../experiments/water/reward_machines/t3.txt
1.0,507,../experiments/water/reward_machines/t4.txt
1.0,334,../experiments/water/reward_machines/t5.txt
1.0,510,../experiments/water/reward_machines/t6.txt
0.0,600,../experiments/water/reward_machines/t7.txt
1.0,511,../experiments/water/reward_machines/t8.txt
0.0,7,../experiments/water/reward_machines/t9.txt
0.0,56,../experiments/water/reward_machines/t10.txt
1.0,172,../experiments/water/reward_machines/t1.txt
1.0,386,../experiments/water/reward_machines/t2.txt
1.0,421,../experiments/water/reward_machines/t3.txt
1.0,338,../experiments/water/reward_machines/t4.txt
1.0,213,../experiments/water/reward_machines/t5.txt
