# {"t_start": 1599250179.3140008, "env_id": "Half-Cheetah-RM12-v0"} 
r,l,t
-563.658162,1000,7.9358
-574.62116,1000,12.447676
-593.664064,1000,17.605411
-599.323801,1000,22.819038
-556.890921,1000,28.187786
-580.132831,1000,33.875278
-537.808213,1000,39.56982
-557.109521,1000,45.013501
-552.577945,1000,50.60046
-579.940314,1000,56.133754
-469.669875,1000,61.673557
-583.914416,1000,67.307972
-599.364835,1000,73.170537
-506.444563,1000,79.047292
-518.648925,1000,84.96684
-599.476716,1000,90.723829
-591.498647,1000,96.561534
-545.118073,1000,102.29839
-581.114894,1000,108.051602
-595.781011,1000,113.838518
-558.062952,1000,119.743811
-559.469171,1000,125.807814
-597.747404,1000,131.892482
-598.377486,1000,137.632549
-574.055306,1000,143.511476
-586.995385,1000,149.60245
-571.443164,1000,155.438455
-571.93048,1000,161.433782
-557.503043,1000,167.669565
-599.587474,1000,173.611479
-580.577108,1000,179.708877
-593.77948,1000,185.909803
-596.926347,1000,192.071853
-595.626309,1000,198.190927
-569.023971,1000,204.214549
-570.306731,1000,210.451698
-584.48386,1000,216.544239
-564.528255,1000,222.657311
-599.70401,1000,228.851532
-548.997227,1000,235.005628
-570.696193,1000,241.079599
-598.603501,1000,247.117497
-599.904419,1000,253.396382
678.706497,564,257.101823
-590.298843,1000,263.302808
-583.308673,1000,269.273996
-598.90561,1000,275.410826
-599.959838,1000,281.534234
-599.888288,1000,287.662245
-595.589695,1000,293.85312
-599.808275,1000,300.178492
-599.91041,1000,306.34172
-593.562368,1000,312.542013
-598.73215,1000,318.856265
-599.541182,1000,325.023157
-600.0,1000,331.268712
-599.069004,1000,337.614087
-598.799495,1000,343.595886
-599.95439,1000,349.841153
-599.999369,1000,356.098123
-599.770731,1000,362.661665
-599.550965,1000,369.306209
-599.351926,1000,376.136988
-587.216582,1000,382.660762
-579.967275,1000,388.997259
778.065124,376,391.492565
-599.906064,1000,397.727126
-599.997284,1000,403.896927
-599.999997,1000,409.949591
682.540054,543,413.325048
-598.948815,1000,419.308246
-579.988068,1000,425.521672
-595.853338,1000,431.921578
-591.181658,1000,438.378875
-599.999952,1000,444.528165
-599.690883,1000,450.956295
-587.425081,1000,457.27955
-592.818403,1000,463.684408
-595.568636,1000,470.111609
-594.48642,1000,476.80464
-565.606811,1000,483.292434
-599.451833,1000,489.763115
-598.478159,1000,496.132555
-599.9659,1000,502.620987
-590.454314,1000,508.831364
-591.345363,1000,515.418426
-600.0,1000,521.871772
-559.388812,1000,528.484418
-599.732949,1000,534.959445
-599.430844,1000,541.711402
-600.0,1000,548.296039
-599.978034,1000,554.934324
-599.937044,1000,561.366372
-587.770615,1000,568.000286
-599.942821,1000,574.29367
-578.036926,1000,580.988177
-599.702036,1000,587.443802
-599.997733,1000,593.96081
-599.999997,1000,600.552161
-599.947567,1000,607.339621
-593.881266,1000,613.769089
-599.770056,1000,620.483685
-599.519621,1000,626.856563
-599.952752,1000,633.386021
-600.0,1000,639.836653
-600.0,1000,646.397512
-599.923802,1000,652.701407
-598.373933,1000,659.467402
-599.999765,1000,666.000846
-599.958372,1000,672.734535
-599.994111,1000,679.316417
-591.4864,1000,686.115553
-599.944524,1000,692.430882
-599.999528,1000,698.980413
-599.969664,1000,705.608042
-576.459238,1000,712.234317
-598.393006,1000,718.923834
-591.213077,1000,725.608809
-586.902127,1000,732.008883
-599.98775,1000,738.841599
-599.999999,1000,745.517681
-599.999743,1000,752.400072
-569.035006,1000,758.90461
-599.89358,1000,765.833483
-593.55137,1000,772.101007
-599.978278,1000,778.911225
-582.015377,1000,785.364024
-598.903349,1000,791.897531
-598.394581,1000,798.520734
-598.650616,1000,805.207479
-557.119752,1000,811.592253
-596.821588,1000,818.308141
776.716729,386,820.832193
-596.988458,1000,827.184636
-560.552344,1000,834.127611
-599.999992,1000,840.712212
-599.517863,1000,847.458199
-599.999699,1000,854.116406
-599.674401,1000,860.917895
-599.851716,1000,867.808533
-584.006006,1000,874.765327
-599.24174,1000,881.5991
-596.806853,1000,888.695016
-583.51701,1000,895.597121
-575.101949,1000,902.916235
-599.632846,1000,909.975902
-599.923921,1000,917.328635
-599.90406,1000,924.434371
-599.980064,1000,931.856215
-599.997383,1000,938.969826
-591.136777,1000,946.441983
-599.560564,1000,953.33288
-599.83011,1000,960.877995
-599.398496,1000,967.823895
-599.354735,1000,974.973784
-592.395871,1000,982.21161
-599.486686,1000,989.795621
-599.923582,1000,996.764629
-597.960007,1000,1004.254522
-599.977982,1000,1011.455945
-599.932525,1000,1019.017838
-600.0,1000,1026.271193
-593.480007,1000,1033.928126
-599.93982,1000,1041.2243
-600.0,1000,1048.688256
-582.020269,1000,1055.805114
-599.994691,1000,1063.363676
-600.0,1000,1070.773269
-594.617283,1000,1078.392807
-599.999989,1000,1085.631778
-598.461675,1000,1093.200296
-599.908208,1000,1100.363511
-599.977678,1000,1107.875141
-599.941027,1000,1115.171811
-600.0,1000,1122.95255
-599.345629,1000,1130.306061
-599.948927,1000,1137.856679
-596.704039,1000,1145.12637
-599.802547,1000,1152.788538
-599.889737,1000,1160.135182
-599.999953,1000,1167.853117
-599.944781,1000,1175.114836
-599.906406,1000,1182.765009
-597.471482,1000,1189.985682
-594.448348,1000,1197.667506
-597.606072,1000,1205.23505
-596.069825,1000,1213.137805
-599.614076,1000,1220.261596
-599.898375,1000,1227.776081
-578.640784,1000,1235.158063
-583.320457,1000,1243.050015
-597.997005,1000,1250.356679
-599.125992,1000,1258.210646
-578.983689,1000,1265.60278
-599.999755,1000,1273.581423
-598.839187,1000,1281.085162
-600.0,1000,1288.955018
-599.999953,1000,1296.166438
-600.0,1000,1304.145408
-599.99789,1000,1311.745774
-582.05108,1000,1319.72964
-599.994698,1000,1327.373025
-600.0,1000,1335.440542
-600.0,1000,1343.129657
-589.272059,1000,1350.908824
-599.980435,1000,1358.515767
-600.0,1000,1366.425508
-600.0,1000,1373.7967
-578.389425,1000,1381.8767
-600.0,1000,1389.412382
-599.857015,1000,1397.234207
-599.461458,1000,1404.798584
-600.0,1000,1412.502107
-599.993946,1000,1420.031926
-599.997684,1000,1428.003969
-600.0,1000,1435.548149
-599.390116,1000,1443.429624
-600.0,1000,1450.91597
-590.683739,1000,1458.933999
-599.999641,1000,1466.366534
-599.552629,1000,1474.346113
-600.0,1000,1481.953194
461.373004,901,1489.018195
-600.0,1000,1496.384806
-600.0,1000,1504.289143
-600.0,1000,1511.668863
-599.403155,1000,1519.471632
-600.0,1000,1527.032066
-599.465177,1000,1535.197531
-600.0,1000,1542.776881
-599.947041,1000,1550.76451
-599.999987,1000,1558.219622
-599.999001,1000,1566.340294
-600.0,1000,1573.962522
-599.986171,1000,1581.841062
-599.991939,1000,1589.53995
-599.99993,1000,1597.584965
-597.231164,1000,1605.060213
-600.0,1000,1613.160978
-599.903814,1000,1620.88732
-598.956701,1000,1629.087754
-600.0,1000,1636.79418
-600.0,1000,1644.769408
-598.759105,1000,1652.2199
-600.0,1000,1660.141321
-600.0,1000,1667.702504
-592.734896,1000,1675.693712
-599.828523,1000,1683.183487
-596.256103,1000,1691.120388
-599.921606,1000,1698.746235
-599.999892,1000,1706.600692
-599.999183,1000,1714.188785
-599.912316,1000,1722.177662
-593.924397,1000,1729.77599
-579.471497,1000,1737.670831
-598.582592,1000,1745.116607
-598.972895,1000,1753.085094
-597.536642,1000,1760.291344
-595.02581,1000,1768.332858
-597.587326,1000,1775.790225
844.771772,265,1778.495402
-573.122519,1000,1785.876158
-598.66971,1000,1793.831825
-599.510299,1000,1801.108163
-599.082086,1000,1809.289974
-598.681924,1000,1816.925025
-599.999251,1000,1825.017131
-599.898855,1000,1832.455573
-600.0,1000,1840.359622
-599.996561,1000,1847.931905
-595.793507,1000,1855.911263
452.86581,939,1862.503707
-599.427039,1000,1869.784631
-598.49126,1000,1877.737194
-598.198428,1000,1885.30355
-599.780716,1000,1893.43541
-599.395232,1000,1901.014405
-597.331752,1000,1909.090104
-599.53807,1000,1916.301818
-597.681077,1000,1924.136914
-592.851431,1000,1931.389588
-599.606361,1000,1939.306946
-599.962706,1000,1946.927624
-596.269515,1000,1955.077845
-599.413459,1000,1962.695711
-599.459069,1000,1970.735647
-599.792771,1000,1977.960536
-598.732712,1000,1985.953503
-597.596764,1000,1993.535132
-599.296422,1000,2001.468441
-585.34137,1000,2009.01666
-598.292821,1000,2017.161082
-599.789019,1000,2024.756729
-599.384045,1000,2032.924944
-552.703599,1000,2040.42156
-599.441547,1000,2048.277858
-598.644861,1000,2055.642739
-587.941784,1000,2063.471655
-595.94043,1000,2070.704783
-599.790273,1000,2078.79909
-597.817449,1000,2086.172781
-599.999466,1000,2094.162424
-596.369048,1000,2101.583453
-599.999983,1000,2109.601346
-599.995415,1000,2117.013672
-599.999413,1000,2125.120614
-599.999998,1000,2132.630524
-599.89691,1000,2140.814564
-599.900922,1000,2148.42487
-598.896532,1000,2156.589172
-598.070926,1000,2163.889144
-598.386789,1000,2171.817861
-599.998103,1000,2179.130369
-599.947093,1000,2187.183943
-599.648658,1000,2194.552011
-598.3485,1000,2202.698367
-599.981399,1000,2210.350576
-600.0,1000,2218.613525
-600.0,1000,2225.912735
-599.999906,1000,2233.911323
-594.299143,1000,2241.408691
-599.999999,1000,2249.676595
-599.246839,1000,2257.083725
-599.917386,1000,2265.120472
-600.0,1000,2272.727615
-599.9998,1000,2280.973084
-599.993367,1000,2288.427746
-600.0,1000,2296.491627
-600.0,1000,2304.110393
-599.804021,1000,2312.365704
-600.0,1000,2319.968828
-600.0,1000,2328.187124
-600.0,1000,2335.880234
-600.0,1000,2344.11956
-599.804244,1000,2351.848474
-600.0,1000,2359.961534
-592.395319,1000,2367.606093
-600.0,1000,2375.915384
-600.0,1000,2383.459069
-597.895104,1000,2391.564694
-600.0,1000,2399.138379
-599.40449,1000,2407.319896
-600.0,1000,2414.879961
-599.999651,1000,2423.227104
-600.0,1000,2430.737489
-600.0,1000,2438.788457
-599.999505,1000,2446.080086
-599.999898,1000,2454.229365
-599.694602,1000,2461.795678
-599.517618,1000,2469.915402
-598.773337,1000,2477.226142
-600.0,1000,2485.38396
-599.990807,1000,2492.897349
-599.999979,1000,2501.225067
-600.0,1000,2508.647435
-599.670904,1000,2516.810832
-599.983303,1000,2524.52831
-599.999999,1000,2533.007777
-600.0,1000,2540.734834
-597.411343,1000,2549.114283
-600.0,1000,2556.84746
-599.951903,1000,2564.960905
-600.0,1000,2572.330745
-600.0,1000,2580.747829
-599.998061,1000,2588.185133
-599.895367,1000,2596.438249
-599.999866,1000,2603.823091
-600.0,1000,2611.892725
-599.998034,1000,2619.270013
-600.0,1000,2627.523904
-600.0,1000,2634.979082
-600.0,1000,2643.21409
-599.999999,1000,2650.713759
-600.0,1000,2658.829982
-599.991176,1000,2666.201621
-600.0,1000,2674.272817
-599.99803,1000,2681.609817
-600.0,1000,2689.668283
-599.975609,1000,2697.127872
-600.0,1000,2705.476954
-599.998375,1000,2713.29792
-599.917733,1000,2721.798671
-600.0,1000,2729.622782
-600.0,1000,2738.120851
792.812157,347,2741.164022
-600.0,1000,2749.685097
-599.868759,1000,2757.321025
-600.0,1000,2765.783725
-600.0,1000,2773.272404
-600.0,1000,2781.562594
-600.0,1000,2789.283111
-599.982117,1000,2797.799245
-600.0,1000,2805.627177
-599.907003,1000,2814.254293
-600.0,1000,2822.037094
-600.0,1000,2830.696275
-598.631051,1000,2838.318225
-600.0,1000,2846.892
-595.744898,1000,2854.718965
-599.620078,1000,2863.183325
-600.0,1000,2870.804229
-594.679882,1000,2879.469437
-599.999996,1000,2887.300579
-600.0,1000,2895.88748
-600.0,1000,2903.412694
-600.0,1000,2911.769019
-599.999992,1000,2919.341673
-599.999998,1000,2927.773838
-597.429177,1000,2935.291008
-600.0,1000,2943.935555
-599.928406,1000,2951.805043
-600.0,1000,2960.504958
-599.999999,1000,2968.229443
-600.0,1000,2976.722768
-599.377597,1000,2984.348138
789.232102,354,2986.750942
-599.65147,1000,2995.318966
-600.0,1000,3003.084222
-600.0,1000,3011.527122
-600.0,1000,3019.302415
-599.466197,1000,3028.019498
-599.998122,1000,3035.901105
-600.0,1000,3044.53231
-599.606553,1000,3052.001438
-599.991607,1000,3060.630906
-600.0,1000,3068.281756
-600.0,1000,3076.998137
-599.861223,1000,3084.855389
-599.910207,1000,3093.444036
-599.972323,1000,3101.181321
-600.0,1000,3109.747766
-600.0,1000,3117.324445
-599.999952,1000,3125.76964
-599.999999,1000,3133.534141
-599.934471,1000,3141.920022
-599.963847,1000,3149.795667
-599.865621,1000,3158.299424
-592.739854,1000,3165.920665
-595.95828,1000,3174.61578
-598.426436,1000,3182.459697
-599.999999,1000,3191.016462
-599.999877,1000,3198.71253
-599.796615,1000,3207.290413
-599.988845,1000,3214.821528
-599.357465,1000,3223.394471
-597.614758,1000,3231.056898
-599.87294,1000,3239.413322
-599.999999,1000,3247.03353
-599.999466,1000,3255.610543
-599.999334,1000,3263.399376
-600.0,1000,3271.852032
-599.896495,1000,3279.774928
-600.0,1000,3288.633475
-599.892361,1000,3296.518333
691.707337,516,3301.289862
-600.0,1000,3309.340016
-599.991839,1000,3317.916516
-600.0,1000,3325.506581
-600.0,1000,3334.019324
-599.992718,1000,3341.709597
-598.172884,1000,3350.337069
-599.324599,1000,3358.187716
-599.999057,1000,3367.018586
-600.0,1000,3374.812563
-599.920887,1000,3383.397103
-600.0,1000,3391.167293
-600.0,1000,3399.817802
-599.999418,1000,3407.845541
-600.0,1000,3417.068804
-597.640837,1000,3424.893454
-598.982318,1000,3433.719132
-600.0,1000,3441.321869
-599.999986,1000,3450.3166
-599.972023,1000,3458.145015
-594.323271,1000,3467.435656
-600.0,1000,3475.624863
-599.999999,1000,3484.49808
-600.0,1000,3492.182188
-599.256867,1000,3500.847738
-600.0,1000,3508.493289
-599.500777,1000,3517.376108
-600.0,1000,3525.573402
-600.0,1000,3534.753303
-600.0,1000,3542.775432
-600.0,1000,3551.763524
-600.0,1000,3559.63431
-600.0,1000,3568.36611
-599.818893,1000,3576.342362
-599.851795,1000,3585.504191
-600.0,1000,3593.545581
-599.528495,1000,3602.424617
-600.0,1000,3610.353639
-593.079183,1000,3619.210239
-600.0,1000,3627.16225
-599.859818,1000,3636.112929
-600.0,1000,3643.760869
-600.0,1000,3652.583607
-599.995447,1000,3660.421523
-599.860802,1000,3669.498293
-599.525552,1000,3677.433064
-599.896693,1000,3686.224639
-594.827457,1000,3693.91219
-599.999998,1000,3703.046149
-599.999953,1000,3710.961083
-600.0,1000,3719.708688
-600.0,1000,3727.747307
-599.33423,1000,3736.500203
-597.406259,1000,3744.520951
-599.999412,1000,3753.437531
-598.697253,1000,3761.384903
-599.999981,1000,3770.174901
-597.501066,1000,3778.216623
-600.0,1000,3787.237904
-599.999639,1000,3795.272547
-600.0,1000,3804.12067
-600.0,1000,3812.302391
-599.699721,1000,3821.435961
-600.0,1000,3829.391881
-599.999999,1000,3838.29172
-599.897127,1000,3846.283747
-600.0,1000,3855.246562
-600.0,1000,3863.234382
-600.0,1000,3872.138402
-599.94294,1000,3880.242139
-594.28661,1000,3889.34346
-599.834926,1000,3897.757851
-599.999431,1000,3906.83257
839.290806,269,3909.19273
-594.172071,1000,3917.298885
-599.979042,1000,3926.473124
-599.703195,1000,3934.391538
-599.99969,1000,3943.394
-599.955057,1000,3951.451827
-599.028985,1000,3960.525434
-600.0,1000,3968.592655
-599.999986,1000,3977.613886
-600.0,1000,3985.602054
-600.0,1000,3994.745635
