episodes,steps,total reward
9,10000,0.0
20,20000,1.0
30,30000,2.0
40,40000,1.0
50,50000,0.0
60,60000,2.0
70,70000,0.0
81,80000,1.0
94,90000,5.0
105,100000,2.0
117,110000,3.0
128,120000,2.0
139,130000,1.0
149,140000,1.0
159,150000,1.0
170,160000,1.0
180,170000,1.0
191,180000,2.0
203,190000,2.0
216,200000,5.0
226,210000,3.0
238,220000,5.0
249,230000,2.0
260,240000,3.0
270,250000,0.0
281,260000,2.0
293,270000,4.0
303,280000,2.0
314,290000,1.0
325,300000,2.0
335,310000,1.0
345,320000,0.0
356,330000,1.0
368,340000,4.0
378,350000,0.0
389,360000,3.0
403,370000,6.0
413,380000,2.0
424,390000,3.0
435,400000,1.0
445,410000,2.0
456,420000,1.0
467,430000,3.0
478,440000,1.0
489,450000,1.0
500,460000,3.0
511,470000,1.0
523,480000,4.0
534,490000,2.0
545,500000,2.0
556,510000,1.0
568,520000,4.0
578,530000,0.0
589,540000,2.0
602,550000,3.0
614,560000,5.0
625,570000,3.0
636,580000,3.0
649,590000,4.0
661,600000,4.0
672,610000,2.0
685,620000,3.0
697,630000,5.0
708,640000,3.0
720,650000,4.0
731,660000,3.0
744,670000,4.0
756,680000,4.0
767,690000,4.0
779,700000,3.0
790,710000,2.0
800,720000,0.0
813,730000,5.0
825,740000,2.0
835,750000,1.0
846,760000,1.0
856,770000,2.0
868,780000,4.0
879,790000,2.0
889,800000,2.0
901,810000,3.0
913,820000,4.0
924,830000,1.0
935,840000,2.0
947,850000,4.0
961,860000,6.0
972,870000,3.0
985,880000,4.0
996,890000,3.0
1007,900000,3.0
1018,910000,4.0
1029,920000,4.0
1042,930000,4.0
1053,940000,5.0
1065,950000,4.0
1075,960000,2.0
1087,970000,3.0
1100,980000,5.0
1116,990000,8.0
1128,1000000,3.0
1141,1010000,3.0
1154,1020000,5.0
1166,1030000,3.0
1178,1040000,4.0
1190,1050000,4.0
1202,1060000,4.0
1214,1070000,4.0
1226,1080000,2.0
1236,1090000,1.0
1249,1100000,4.0
1261,1110000,3.0
1275,1120000,6.0
1285,1130000,2.0
1297,1140000,3.0
1312,1150000,8.0
1325,1160000,6.0
1337,1170000,4.0
1348,1180000,2.0
1360,1190000,5.0
1373,1200000,4.0
1386,1210000,6.0
1397,1220000,3.0
1409,1230000,2.0
1424,1240000,9.0
1435,1250000,3.0
1447,1260000,2.0
1459,1270000,4.0
1472,1280000,5.0
1484,1290000,4.0
1496,1300000,3.0
1509,1310000,3.0
1520,1320000,3.0
1534,1330000,8.0
1545,1340000,4.0
1558,1350000,4.0
1572,1360000,5.0
1583,1370000,3.0
1596,1380000,5.0
1609,1390000,6.0
1624,1400000,8.0
1636,1410000,4.0
1648,1420000,4.0
1663,1430000,6.0
1676,1440000,5.0
1688,1450000,4.0
1700,1460000,4.0
1715,1470000,8.0
1727,1480000,4.0
1739,1490000,3.0
1754,1500000,8.0
1767,1510000,5.0
1778,1520000,4.0
1792,1530000,5.0
1805,1540000,5.0
1815,1550000,3.0
1827,1560000,2.0
1841,1570000,7.0
1857,1580000,10.0
1869,1590000,4.0
1881,1600000,5.0
1894,1610000,4.0
1906,1620000,4.0
1917,1630000,3.0
1929,1640000,4.0
1944,1650000,6.0
1957,1660000,4.0
1971,1670000,6.0
1986,1680000,6.0
1998,1690000,3.0
2009,1700000,3.0
2024,1710000,9.0
2038,1720000,6.0
2053,1730000,7.0
2065,1740000,5.0
2077,1750000,3.0
2089,1760000,4.0
2106,1770000,8.0
2119,1780000,5.0
2134,1790000,7.0
2146,1800000,3.0
2159,1810000,6.0
2173,1820000,8.0
2186,1830000,4.0
2197,1840000,3.0
2208,1850000,3.0
2221,1860000,4.0
2235,1870000,6.0
2248,1880000,4.0
2263,1890000,7.0
2276,1900000,6.0
2288,1910000,4.0
2299,1920000,3.0
2313,1930000,6.0
2326,1940000,6.0
2339,1950000,5.0
2353,1960000,6.0
2366,1970000,5.0
2378,1980000,4.0
2392,1990000,5.0
2405,2000000,5.0
