# {"t_start": 1598491991.8850882, "env_id": "Craft-M7-v0"} 
r,l,t
0.0,1000,0.039294
0.0,1000,0.077917
0.0,1000,0.115529
0.0,1000,0.156252
0.0,1000,0.193851
0.0,1000,0.231693
0.0,1000,0.27019
0.0,1000,0.308023
0.0,1000,0.345867
0.0,1000,0.383727
1.0,966,0.420866
0.0,1000,0.459756
0.0,1000,0.497589
1.0,377,0.511822
0.0,1000,0.550098
0.0,1000,0.588095
0.0,1000,0.628063
0.0,1000,0.667774
0.0,1000,0.70658
0.0,1000,0.744766
0.0,1000,0.783326
1.0,659,0.808955
0.0,1000,0.847663
0.0,1000,0.886363
0.0,1000,0.924959
0.0,1000,0.963707
0.0,1000,1.001687
0.0,1000,1.039827
0.0,1000,1.07827
0.0,1000,1.117172
0.0,1000,1.156556
0.0,1000,1.195174
0.0,1000,1.234511
1.0,790,1.264951
0.0,1000,1.303391
0.0,1000,1.341534
0.0,1000,1.380106
0.0,1000,1.418388
0.0,1000,1.456635
0.0,1000,1.494894
0.0,1000,1.533953
0.0,1000,1.572554
0.0,1000,1.611324
0.0,1000,1.650726
0.0,1000,1.689599
0.0,1000,1.728071
0.0,1000,1.766809
0.0,1000,1.806027
0.0,1000,1.844928
0.0,1000,1.883447
0.0,1000,1.922495
0.0,1000,1.961778
1.0,739,1.990637
0.0,1000,2.029838
0.0,1000,2.069196
0.0,1000,2.107667
0.0,1000,2.149291
0.0,1000,2.188867
0.0,1000,2.227716
0.0,1000,2.266364
0.0,1000,2.306212
0.0,1000,2.34578
0.0,1000,2.386036
0.0,1000,2.42602
0.0,1000,2.466602
0.0,1000,2.506203
0.0,1000,2.545022
0.0,1000,2.584075
0.0,1000,2.623912
0.0,1000,2.662777
1.0,425,2.680066
0.0,1000,2.71982
1.0,437,2.737158
0.0,1000,2.776517
0.0,1000,2.815544
0.0,1000,2.854994
0.0,1000,2.894289
1.0,306,2.906479
0.0,1000,2.946073
0.0,1000,2.985228
0.0,1000,3.025129
0.0,1000,3.064666
0.0,1000,3.104258
0.0,1000,3.143938
0.0,1000,3.183232
0.0,1000,3.222693
0.0,1000,3.262197
0.0,1000,3.301079
0.0,1000,3.34092
0.0,1000,3.37952
0.0,1000,3.419296
0.0,1000,3.45875
0.0,1000,3.499362
0.0,1000,3.539204
1.0,790,3.570113
0.0,1000,3.609671
0.0,1000,3.649081
0.0,1000,3.688494
0.0,1000,3.726908
0.0,1000,3.766825
0.0,1000,3.806256
1.0,805,3.83811
1.0,481,3.857524
1.0,656,3.883719
0.0,1000,3.923131
0.0,1000,3.962483
0.0,1000,4.002817
0.0,1000,4.0423
0.0,1000,4.081243
0.0,1000,4.120384
0.0,1000,4.160096
0.0,1000,4.200511
0.0,1000,4.240931
0.0,1000,4.280834
0.0,1000,4.32093
0.0,1000,4.359513
0.0,1000,4.398987
0.0,1000,4.438718
0.0,1000,4.477686
0.0,1000,4.518042
0.0,1000,4.558392
0.0,1000,4.59904
0.0,1000,4.638231
0.0,1000,4.678099
0.0,1000,4.717653
0.0,1000,4.759667
0.0,1000,4.800779
0.0,1000,4.841074
0.0,1000,4.881828
0.0,1000,4.922316
0.0,1000,4.961821
1.0,459,4.981171
1.0,303,4.99387
1.0,568,5.01658
0.0,1000,5.056231
0.0,1000,5.096503
0.0,1000,5.137135
0.0,1000,5.176727
0.0,1000,5.216687
0.0,1000,5.255994
1.0,311,5.268845
1.0,620,5.294032
0.0,1000,5.333831
0.0,1000,5.374385
0.0,1000,5.41495
0.0,1000,5.454908
0.0,1000,5.494159
0.0,1000,5.533836
0.0,1000,5.573004
0.0,1000,5.614275
0.0,1000,5.654414
0.0,1000,5.694118
0.0,1000,5.736286
0.0,1000,5.7779
0.0,1000,5.817645
0.0,1000,5.858388
0.0,1000,5.897911
0.0,1000,5.938537
0.0,1000,5.978898
0.0,1000,6.019435
0.0,1000,6.060213
0.0,1000,6.101065
1.0,936,6.138953
0.0,1000,6.180203
0.0,1000,6.219955
0.0,1000,6.259887
0.0,1000,6.30027
0.0,1000,6.340343
0.0,1000,6.380263
0.0,1000,6.420447
0.0,1000,6.460988
0.0,1000,6.501213
1.0,764,6.532192
0.0,1000,6.572917
0.0,1000,6.612538
0.0,1000,6.652717
0.0,1000,6.69222
0.0,1000,6.73238
0.0,1000,6.77175
0.0,1000,6.810682
0.0,1000,6.851593
0.0,1000,6.892135
0.0,1000,6.932561
1.0,308,6.945257
0.0,1000,6.98482
0.0,1000,7.024582
0.0,1000,7.065173
0.0,1000,7.104969
0.0,1000,7.144599
0.0,1000,7.184644
1.0,383,7.200289
1.0,322,7.213632
1.0,854,7.248367
0.0,1000,7.288386
0.0,1000,7.328589
0.0,1000,7.369005
0.0,1000,7.408322
0.0,1000,7.449019
0.0,1000,7.489084
0.0,1000,7.529352
1.0,374,7.544733
0.0,1000,7.585163
0.0,1000,7.62464
0.0,1000,7.665319
1.0,727,7.695167
0.0,1000,7.735219
0.0,1000,7.774886
0.0,1000,7.81473
0.0,1000,7.854617
0.0,1000,7.89502
1.0,257,7.905586
0.0,1000,7.946125
1.0,879,7.982056
0.0,1000,8.022608
0.0,1000,8.062855
0.0,1000,8.102859
0.0,1000,8.147146
0.0,1000,8.18896
0.0,1000,8.230014
0.0,1000,8.2714
0.0,1000,8.312665
0.0,1000,8.353732
0.0,1000,8.394922
1.0,453,8.414331
0.0,1000,8.45464
0.0,1000,8.495627
0.0,1000,8.535614
0.0,1000,8.576312
0.0,1000,8.61703
0.0,1000,8.656203
0.0,1000,8.697455
0.0,1000,8.738722
0.0,1000,8.780143
0.0,1000,8.82139
0.0,1000,8.861571
0.0,1000,8.90094
0.0,1000,8.940927
0.0,1000,8.981049
0.0,1000,9.021673
0.0,1000,9.061289
1.0,609,9.086551
0.0,1000,9.127152
1.0,785,9.159176
0.0,1000,9.200074
1.0,451,9.218477
0.0,1000,9.25978
0.0,1000,9.300063
0.0,1000,9.340086
0.0,1000,9.380812
0.0,1000,9.420556
0.0,1000,9.461282
0.0,1000,9.502541
0.0,1000,9.543774
0.0,1000,9.58513
0.0,1000,9.625944
0.0,1000,9.666269
0.0,1000,9.706789
0.0,1000,9.747913
0.0,1000,9.788404
0.0,1000,9.829162
0.0,1000,9.869652
0.0,1000,9.910223
0.0,1000,9.950719
0.0,1000,9.991231
0.0,1000,10.032285
0.0,1000,10.072187
0.0,1000,10.111645
0.0,1000,10.15281
0.0,1000,10.192917
0.0,1000,10.233776
0.0,1000,10.274746
0.0,1000,10.315069
1.0,370,10.33025
1.0,291,10.342227
0.0,1000,10.382859
0.0,1000,10.423178
0.0,1000,10.464125
0.0,1000,10.503789
0.0,1000,10.545477
0.0,1000,10.585487
1.0,169,10.592503
0.0,1000,10.633055
1.0,843,10.667414
0.0,1000,10.707987
0.0,1000,10.748415
0.0,1000,10.789596
0.0,1000,10.829456
0.0,1000,10.870596
0.0,1000,10.910617
0.0,1000,10.95139
0.0,1000,10.991897
1.0,510,11.012749
0.0,1000,11.053244
0.0,1000,11.093518
0.0,1000,11.133873
0.0,1000,11.174263
0.0,1000,11.215009
0.0,1000,11.255514
0.0,1000,11.296208
0.0,1000,11.337243
1.0,597,11.361707
1.0,856,11.396489
0.0,1000,11.437177
0.0,1000,11.477742
0.0,1000,11.518248
0.0,1000,11.558728
0.0,1000,11.599293
0.0,1000,11.640345
1.0,594,11.664754
0.0,1000,11.704467
0.0,1000,11.744783
0.0,1000,11.785398
1.0,711,11.81425
0.0,1000,11.854642
0.0,1000,11.89491
0.0,1000,11.934829
0.0,1000,11.975904
0.0,1000,12.016948
0.0,1000,12.057198
0.0,1000,12.097919
0.0,1000,12.138468
0.0,1000,12.179293
1.0,400,12.195791
0.0,1000,12.236184
0.0,1000,12.276311
0.0,1000,12.317181
0.0,1000,12.357816
0.0,1000,12.398498
0.0,1000,12.43925
0.0,1000,12.480196
0.0,1000,12.521363
0.0,1000,12.566227
1.0,809,12.600269
0.0,1000,12.642122
0.0,1000,12.684458
0.0,1000,12.72694
0.0,1000,12.768494
0.0,1000,12.809571
0.0,1000,12.8513
0.0,1000,12.892985
1.0,858,12.928748
0.0,1000,12.970246
1.0,742,13.000531
1.0,968,13.040422
0.0,1000,13.08119
0.0,1000,13.12199
0.0,1000,13.162616
0.0,1000,13.203559
0.0,1000,13.244988
0.0,1000,13.286357
1.0,802,13.319666
1.0,683,13.347965
1.0,648,13.374628
1.0,679,13.402122
0.0,1000,13.443276
0.0,1000,13.484581
0.0,1000,13.525265
0.0,1000,13.566431
0.0,1000,13.60757
0.0,1000,13.648437
0.0,1000,13.689879
0.0,1000,13.730927
0.0,1000,13.771901
0.0,1000,13.812433
0.0,1000,13.85383
0.0,1000,13.895676
0.0,1000,13.937025
0.0,1000,13.978067
0.0,1000,14.018867
0.0,1000,14.060127
1.0,476,14.079703
0.0,1000,14.1203
1.0,501,14.141341
0.0,1000,14.182539
0.0,1000,14.223366
0.0,1000,14.263982
0.0,1000,14.304493
0.0,1000,14.345867
0.0,1000,14.386707
0.0,1000,14.426917
0.0,1000,14.467941
0.0,1000,14.50906
1.0,852,14.543905
0.0,1000,14.584748
1.0,264,14.595651
0.0,1000,14.636336
0.0,1000,14.67642
1.0,566,14.699833
0.0,1000,14.740525
0.0,1000,14.781836
0.0,1000,14.822349
0.0,1000,14.863068
1.0,378,14.878705
1.0,389,14.894752
0.0,1000,14.935573
0.0,1000,14.975789
0.0,1000,15.01639
0.0,1000,15.057431
0.0,1000,15.09826
0.0,1000,15.138667
1.0,763,15.169727
0.0,1000,15.210568
1.0,686,15.238153
1.0,456,15.256976
0.0,1000,15.297745
0.0,1000,15.338815
0.0,1000,15.379448
0.0,1000,15.420322
0.0,1000,15.461468
0.0,1000,15.502126
0.0,1000,15.543092
0.0,1000,15.584501
0.0,1000,15.625324
1.0,724,15.654991
0.0,1000,15.695929
0.0,1000,15.736314
0.0,1000,15.776785
0.0,1000,15.817673
0.0,1000,15.858459
0.0,1000,15.899178
1.0,578,15.923073
0.0,1000,15.963824
1.0,698,16.009092
0.0,1000,16.051081
1.0,507,16.072094
0.0,1000,16.11287
0.0,1000,16.153503
0.0,1000,16.194074
0.0,1000,16.234956
0.0,1000,16.276119
0.0,1000,16.317197
0.0,1000,16.358502
0.0,1000,16.399369
1.0,346,16.41376
0.0,1000,16.454754
0.0,1000,16.494412
0.0,1000,16.534872
0.0,1000,16.575628
0.0,1000,16.616346
0.0,1000,16.657755
0.0,1000,16.698685
1.0,839,16.733488
0.0,1000,16.774343
1.0,456,16.793149
0.0,1000,16.83428
0.0,1000,16.874542
0.0,1000,16.91455
0.0,1000,16.955617
0.0,1000,16.996077
0.0,1000,17.036638
1.0,657,17.064038
0.0,1000,17.104608
0.0,1000,17.145502
1.0,964,17.184823
0.0,1000,17.225846
0.0,1000,17.266846
0.0,1000,17.307601
0.0,1000,17.348659
0.0,1000,17.389743
0.0,1000,17.430418
1.0,790,17.462632
0.0,1000,17.503556
1.0,370,17.518753
0.0,1000,17.559587
0.0,1000,17.600203
0.0,1000,17.640865
0.0,1000,17.681943
0.0,1000,17.724071
0.0,1000,17.765879
0.0,1000,17.80775
1.0,803,17.841543
1.0,578,17.865396
0.0,1000,17.906085
0.0,1000,17.947358
1.0,645,17.974046
0.0,1000,18.015311
0.0,1000,18.056883
0.0,1000,18.098079
0.0,1000,18.139207
0.0,1000,18.18021
1.0,833,18.21444
0.0,1000,18.255156
1.0,657,18.286115
0.0,1000,18.328669
0.0,1000,18.370277
0.0,1000,18.411648
0.0,1000,18.453921
1.0,928,18.493342
1.0,446,18.512624
0.0,1000,18.554304
0.0,1000,18.59617
0.0,1000,18.638381
0.0,1000,18.68004
0.0,1000,18.721698
0.0,1000,18.762765
0.0,1000,18.805088
0.0,1000,18.846654
0.0,1000,18.888635
0.0,1000,18.930961
0.0,1000,18.972679
1.0,560,18.996845
0.0,1000,19.038808
0.0,1000,19.080446
0.0,1000,19.121839
0.0,1000,19.163861
0.0,1000,19.205521
0.0,1000,19.24694
0.0,1000,19.288359
0.0,1000,19.329696
0.0,1000,19.371212
1.0,185,19.378963
0.0,1000,19.420382
1.0,820,19.454737
0.0,1000,19.496263
0.0,1000,19.538035
0.0,1000,19.579381
0.0,1000,19.621218
0.0,1000,19.662694
0.0,1000,19.704531
0.0,1000,19.746015
1.0,684,19.774438
0.0,1000,19.815521
0.0,1000,19.857218
1.0,788,19.889956
0.0,1000,19.930919
0.0,1000,19.970995
1.0,939,20.00952
0.0,1000,20.05159
0.0,1000,20.092942
0.0,1000,20.134608
0.0,1000,20.175399
0.0,1000,20.216608
1.0,463,20.235593
1.0,917,20.273222
0.0,1000,20.314153
0.0,1000,20.355725
0.0,1000,20.397271
1.0,557,20.420611
0.0,1000,20.461529
0.0,1000,20.501439
0.0,1000,20.542581
1.0,126,20.547833
0.0,1000,20.589758
1.0,986,20.630517
0.0,1000,20.671727
0.0,1000,20.712255
0.0,1000,20.753968
0.0,1000,20.795079
0.0,1000,20.836673
0.0,1000,20.877714
1.0,583,20.901644
0.0,1000,20.942506
1.0,171,20.94963
0.0,1000,20.990325
0.0,1000,21.031633
0.0,1000,21.072629
0.0,1000,21.114163
0.0,1000,21.156367
0.0,1000,21.197723
0.0,1000,21.238832
1.0,961,21.27796
0.0,1000,21.318756
1.0,662,21.345845
1.0,609,21.370742
0.0,1000,21.413013
0.0,1000,21.454665
0.0,1000,21.496067
0.0,1000,21.537283
0.0,1000,21.578532
0.0,1000,21.620099
0.0,1000,21.661405
1.0,683,21.689974
0.0,1000,21.731485
0.0,1000,21.772575
1.0,851,21.807503
0.0,1000,21.848225
0.0,1000,21.889568
0.0,1000,21.930714
0.0,1000,21.972087
0.0,1000,22.01295
1.0,502,22.034056
1.0,335,22.048211
0.0,1000,22.089593
0.0,1000,22.130726
0.0,1000,22.171653
0.0,1000,22.212568
0.0,1000,22.253748
0.0,1000,22.295071
0.0,1000,22.336247
0.0,1000,22.377223
0.0,1000,22.418103
0.0,1000,22.459441
0.0,1000,22.500453
0.0,1000,22.54145
0.0,1000,22.582888
0.0,1000,22.623825
0.0,1000,22.665277
1.0,814,22.698576
0.0,1000,22.73982
0.0,1000,22.780816
1.0,650,22.808688
1.0,200,22.817007
1.0,461,22.835844
0.0,1000,22.877106
0.0,1000,22.918341
1.0,675,22.945599
1.0,714,22.975148
0.0,1000,23.016414
0.0,1000,23.057851
0.0,1000,23.099057
0.0,1000,23.140108
1.0,814,23.173155
0.0,1000,23.213733
1.0,207,23.222388
0.0,1000,23.263858
0.0,1000,23.305047
0.0,1000,23.346339
0.0,1000,23.387286
0.0,1000,23.427976
0.0,1000,23.469015
1.0,375,23.484545
0.0,1000,23.525115
1.0,363,23.540093
1.0,739,23.570686
0.0,1000,23.611676
1.0,907,23.6488
0.0,1000,23.69007
0.0,1000,23.731235
0.0,1000,23.772247
1.0,999,23.812696
0.0,1000,23.853496
1.0,848,23.888404
1.0,239,23.898208
1.0,611,23.923376
0.0,1000,23.964614
0.0,1000,24.005315
0.0,1000,24.046395
0.0,1000,24.087963
0.0,1000,24.129252
0.0,1000,24.170263
1.0,613,24.195422
0.0,1000,24.236403
0.0,1000,24.277173
1.0,682,24.305253
1.0,461,24.324347
0.0,1000,24.365516
0.0,1000,24.406646
0.0,1000,24.447783
0.0,1000,24.489079
0.0,1000,24.530077
0.0,1000,24.571625
0.0,1000,24.612554
1.0,684,24.640653
0.0,1000,24.681514
0.0,1000,24.722663
0.0,1000,24.763544
0.0,1000,24.804716
0.0,1000,24.845751
0.0,1000,24.88665
0.0,1000,24.92776
1.0,349,24.942206
0.0,1000,24.983146
0.0,1000,25.02401
0.0,1000,25.065106
0.0,1000,25.106174
0.0,1000,25.147178
0.0,1000,25.188124
0.0,1000,25.228942
0.0,1000,25.270021
0.0,1000,25.3113
0.0,1000,25.352342
1.0,192,25.360266
0.0,1000,25.400825
0.0,1000,25.441458
0.0,1000,25.482625
0.0,1000,25.523079
0.0,1000,25.564226
0.0,1000,25.605062
0.0,1000,25.646247
0.0,1000,25.687467
0.0,1000,25.733433
0.0,1000,25.776098
1.0,469,25.796272
1.0,499,25.817545
0.0,1000,25.860118
0.0,1000,25.901634
0.0,1000,25.944593
1.0,832,25.979869
0.0,1000,26.021646
0.0,1000,26.063242
1.0,356,26.078287
1.0,750,26.109496
1.0,197,26.117878
1.0,482,26.138099
0.0,1000,26.179749
0.0,1000,26.22275
1.0,495,26.24385
0.0,1000,26.286569
0.0,1000,26.3283
0.0,1000,26.369586
1.0,297,26.382079
0.0,1000,26.423133
1.0,315,26.436269
0.0,1000,26.477234
0.0,1000,26.518708
0.0,1000,26.560026
0.0,1000,26.601492
0.0,1000,26.642481
0.0,1000,26.684375
0.0,1000,26.726406
0.0,1000,26.768312
0.0,1000,26.810266
1.0,275,26.821764
0.0,1000,26.863646
1.0,525,26.885557
0.0,1000,26.927175
0.0,1000,26.968672
0.0,1000,27.010484
0.0,1000,27.052548
0.0,1000,27.094388
1.0,245,27.104597
0.0,1000,27.146039
1.0,765,27.177562
1.0,895,27.214452
0.0,1000,27.256243
0.0,1000,27.297951
0.0,1000,27.339652
0.0,1000,27.381112
0.0,1000,27.422866
1.0,765,27.454709
1.0,631,27.481006
0.0,1000,27.521811
1.0,488,27.541865
1.0,481,27.561972
0.0,1000,27.603614
0.0,1000,27.644679
0.0,1000,27.686373
0.0,1000,27.727514
0.0,1000,27.768972
0.0,1000,27.810058
0.0,1000,27.851019
0.0,1000,27.891849
0.0,1000,27.932986
1.0,520,27.954522
0.0,1000,27.995657
0.0,1000,28.038663
0.0,1000,28.080727
0.0,1000,28.121993
0.0,1000,28.163689
0.0,1000,28.204208
0.0,1000,28.245467
0.0,1000,28.286607
0.0,1000,28.327986
1.0,829,28.361996
0.0,1000,28.403014
0.0,1000,28.444091
0.0,1000,28.485494
0.0,1000,28.52745
0.0,1000,28.56919
0.0,1000,28.610851
1.0,506,28.631832
0.0,1000,28.672935
0.0,1000,28.714085
1.0,683,28.742462
0.0,1000,28.783554
0.0,1000,28.824647
0.0,1000,28.865178
0.0,1000,28.906214
0.0,1000,28.947202
0.0,1000,28.987115
0.0,1000,29.02831
1.0,470,29.047791
1.0,805,29.08063
0.0,1000,29.121725
0.0,1000,29.162992
0.0,1000,29.204501
0.0,1000,29.245595
0.0,1000,29.28719
0.0,1000,29.328635
0.0,1000,29.369748
0.0,1000,29.411151
0.0,1000,29.451986
1.0,570,29.475202
1.0,141,29.481132
1.0,707,29.510146
0.0,1000,29.551452
0.0,1000,29.592938
0.0,1000,29.634155
0.0,1000,29.675115
0.0,1000,29.715786
1.0,527,29.737449
0.0,1000,29.77832
0.0,1000,29.819477
0.0,1000,29.86041
0.0,1000,29.901649
0.0,1000,29.94263
0.0,1000,29.983565
1.0,950,30.023393
0.0,1000,30.064945
0.0,1000,30.10627
1.0,385,30.122116
1.0,348,30.136531
0.0,1000,30.177395
1.0,715,30.206722
0.0,1000,30.247827
0.0,1000,30.289099
0.0,1000,30.328935
0.0,1000,30.369555
0.0,1000,30.410612
0.0,1000,30.451659
1.0,333,30.465336
1.0,518,30.486401
1.0,762,30.517533
0.0,1000,30.558337
0.0,1000,30.599512
0.0,1000,30.640512
0.0,1000,30.681651
0.0,1000,30.722603
0.0,1000,30.763559
0.0,1000,30.804321
1.0,501,30.824932
0.0,1000,30.865686
1.0,259,30.8764
1.0,562,30.899348
0.0,1000,30.94039
0.0,1000,30.981521
0.0,1000,31.023113
0.0,1000,31.064512
1.0,552,31.087407
0.0,1000,31.128499
1.0,293,31.1407
0.0,1000,31.181545
1.0,522,31.203226
1.0,261,31.214043
0.0,1000,31.255263
0.0,1000,31.296248
0.0,1000,31.337705
0.0,1000,31.378594
0.0,1000,31.41989
0.0,1000,31.46119
1.0,525,31.482639
0.0,1000,31.523575
1.0,503,31.544236
1.0,507,31.565161
0.0,1000,31.606396
0.0,1000,31.645629
0.0,1000,31.686965
0.0,1000,31.728059
0.0,1000,31.76932
0.0,1000,31.810115
0.0,1000,31.851329
0.0,1000,31.892266
1.0,599,31.917091
0.0,1000,31.958366
0.0,1000,31.999289
0.0,1000,32.040995
0.0,1000,32.082513
0.0,1000,32.1239
0.0,1000,32.165164
0.0,1000,32.215761
1.0,400,32.232361
1.0,617,32.257925
1.0,327,32.271541
0.0,1000,32.312711
0.0,1000,32.353869
0.0,1000,32.395537
0.0,1000,32.437173
0.0,1000,32.478696
0.0,1000,32.520389
0.0,1000,32.56328
1.0,930,32.602796
1.0,197,32.611174
1.0,359,32.626275
1.0,983,32.667064
1.0,388,32.683192
0.0,1000,32.724452
0.0,1000,32.766384
0.0,1000,32.807629
0.0,1000,32.848722
0.0,1000,32.889947
1.0,402,32.906514
0.0,1000,32.947495
1.0,340,32.961344
1.0,522,32.982632
1.0,794,33.015316
0.0,1000,33.056343
0.0,1000,33.097334
0.0,1000,33.138921
0.0,1000,33.180349
0.0,1000,33.221773
0.0,1000,33.26298
1.0,794,33.295602
1.0,828,33.329538
0.0,1000,33.370167
0.0,1000,33.411242
0.0,1000,33.452234
0.0,1000,33.493705
0.0,1000,33.534758
0.0,1000,33.575983
0.0,1000,33.61696
0.0,1000,33.657821
1.0,855,33.692834
1.0,166,33.699759
1.0,561,33.722815
0.0,1000,33.764009
1.0,624,33.789631
0.0,1000,33.830705
0.0,1000,33.871858
0.0,1000,33.912742
0.0,1000,33.953735
1.0,838,33.988042
1.0,358,34.00311
1.0,758,34.035177
1.0,703,34.064811
1.0,803,34.098493
0.0,1000,34.139297
0.0,1000,34.180455
1.0,777,34.212194
