# {"t_start": 1598544201.0954869, "env_id": "Office-v0"} 
r,l,t
0.0,15,0.001864
0.0,10,0.002207
0.0,5,0.002425
0.0,31,0.003363
0.0,8,0.003624
0.0,62,0.005408
0.0,31,0.006331
0.0,7,0.006625
0.0,10,0.006944
0.0,26,0.007722
0.0,40,0.00895
0.0,4,0.00911
0.0,75,0.011265
0.0,32,0.012192
0.0,4,0.012335
0.0,24,0.013023
0.0,38,0.014156
0.0,16,0.01465
0.0,14,0.015084
0.0,54,0.016641
0.0,19,0.017221
0.0,27,0.017995
0.0,46,0.019348
0.0,15,0.019819
0.0,42,0.021024
0.0,14,0.021461
0.0,19,0.022035
0.0,39,0.023194
0.0,6,0.023403
0.0,46,0.024758
0.0,28,0.025546
0.0,7,0.02577
0.0,58,0.027455
0.0,31,0.028351
0.0,87,0.030864
0.0,46,0.032209
0.0,32,0.033133
0.0,13,0.033514
0.0,11,0.033868
0.0,77,0.036075
0.0,115,0.039363
0.0,28,0.040211
0.0,17,0.040705
0.0,7,0.040926
0.0,67,0.042868
0.0,38,0.043989
0.0,9,0.044275
0.0,15,0.044731
0.0,16,0.045221
0.0,63,0.047078
0.0,77,0.049297
0.0,30,0.050198
0.0,34,0.051206
0.0,20,0.051846
0.0,43,0.053104
0.0,62,0.054914
0.0,7,0.05515
0.0,180,0.06027
0.0,107,0.063339
0.0,45,0.064641
0.0,71,0.066705
0.0,120,0.070148
0.0,7,0.070379
0.0,51,0.07186
0.0,104,0.074842
0.0,33,0.075829
0.0,16,0.076294
0.0,18,0.07682
1.0,67,0.078783
0.0,153,0.083176
0.0,92,0.085811
0.0,15,0.086276
1.0,26,0.087047
0.0,90,0.08964
0.0,42,0.090874
0.0,19,0.091435
1.0,77,0.093656
0.0,100,0.096456
0.0,84,0.09882
0.0,18,0.099362
1.0,127,0.102899
0.0,85,0.105299
0.0,53,0.106829
0.0,13,0.107232
1.0,21,0.107874
0.0,51,0.109307
0.0,37,0.110347
0.0,29,0.111184
1.0,97,0.113923
0.0,4,0.114073
0.0,69,0.116071
0.0,88,0.118518
0.0,24,0.119218
0.0,41,0.120383
0.0,82,0.122688
0.0,33,0.123657
1.0,41,0.124825
0.0,43,0.126044
0.0,148,0.130136
0.0,6,0.130338
0.0,71,0.132394
0.0,129,0.135982
0.0,24,0.136674
0.0,20,0.137265
0.0,32,0.138183
0.0,90,0.14076
0.0,22,0.141386
0.0,22,0.142019
0.0,55,0.14355
0.0,110,0.146683
0.0,28,0.147544
0.0,65,0.149342
1.0,55,0.150874
0.0,128,0.154379
0.0,58,0.156084
0.0,58,0.157723
1.0,75,0.159851
0.0,27,0.160631
0.0,170,0.16536
0.0,78,0.167703
1.0,38,0.168801
0.0,95,0.171416
0.0,25,0.172128
0.0,98,0.174839
1.0,51,0.176266
0.0,42,0.177439
0.0,55,0.178999
0.0,27,0.179783
1.0,27,0.180559
0.0,106,0.183518
0.0,143,0.187464
0.0,77,0.189637
0.0,15,0.19008
0.0,228,0.196358
0.0,157,0.20376
0.0,88,0.206339
1.0,43,0.207587
1.0,223,0.213825
0.0,21,0.214452
0.0,95,0.217113
1.0,49,0.218492
0.0,268,0.225852
0.0,40,0.227
0.0,59,0.228674
1.0,65,0.23048
0.0,18,0.231017
0.0,10,0.231318
0.0,82,0.233602
1.0,38,0.234701
1.0,241,0.24142
0.0,15,0.241882
0.0,25,0.242611
0.0,59,0.244271
0.0,60,0.245976
0.0,68,0.247894
0.0,43,0.249101
1.0,20,0.249682
1.0,117,0.252956
0.0,35,0.25395
0.0,53,0.255434
0.0,29,0.25626
1.0,200,0.261771
0.0,4,0.26192
0.0,113,0.265149
1.0,25,0.265901
1.0,161,0.270398
0.0,108,0.273376
0.0,9,0.273663
1.0,48,0.275074
0.0,9,0.275356
0.0,10,0.275681
0.0,29,0.276503
1.0,101,0.279273
1.0,214,0.285261
0.0,35,0.286279
0.0,17,0.286781
1.0,20,0.287373
0.0,69,0.289303
0.0,47,0.290912
0.0,2,0.291007
1.0,33,0.291987
0.0,24,0.292683
0.0,78,0.294911
0.0,70,0.296884
1.0,70,0.298838
1.0,128,0.302355
0.0,63,0.304164
0.0,76,0.306287
1.0,22,0.306937
0.0,44,0.308188
0.0,80,0.310453
0.0,8,0.310713
0.0,17,0.311223
0.0,18,0.311774
0.0,60,0.313452
0.0,151,0.317632
1.0,55,0.3192
1.0,178,0.324129
0.0,69,0.326061
0.0,48,0.327431
0.0,2,0.327521
0.0,15,0.327964
0.0,42,0.32916
0.0,92,0.331713
1.0,15,0.33217
0.0,51,0.333601
0.0,35,0.334596
0.0,18,0.335117
1.0,19,0.335674
1.0,139,0.339496
0.0,58,0.341127
0.0,79,0.343346
1.0,15,0.343807
0.0,16,0.344284
0.0,52,0.345754
0.0,55,0.347368
