# {"t_start": 1599072647.106092, "env_id": "Half-Cheetah-RM11-v0"} 
r,l,t
-561.945165,1000,7.538682
-599.798831,1000,12.049541
-589.703669,1000,16.619441
-599.471801,1000,21.186806
-599.943801,1000,25.853076
-596.877747,1000,30.401383
-592.838819,1000,34.921694
-588.012211,1000,39.507087
-591.965934,1000,44.162481
-593.447966,1000,48.785389
-592.342001,1000,53.272043
-594.924425,1000,57.85535
-593.627697,1000,62.43991
-595.793811,1000,66.951602
-599.971046,1000,71.543237
-599.600738,1000,76.313661
-599.998307,1000,80.911412
-599.991309,1000,85.470161
-596.43578,1000,90.012361
-597.585502,1000,94.565723
-599.949135,1000,99.221422
-597.202417,1000,103.671241
-592.476508,1000,108.135692
-599.947219,1000,112.669271
-595.339635,1000,117.421584
-599.774955,1000,122.036233
-597.785127,1000,126.585102
-598.660587,1000,131.154514
-596.716765,1000,135.759435
-599.803821,1000,140.299683
-598.166868,1000,144.923837
-598.136517,1000,149.66219
-599.347329,1000,154.347085
-598.533485,1000,158.768186
-598.481101,1000,163.367478
-597.50709,1000,168.004462
-598.78847,1000,173.206572
-599.850966,1000,178.299331
-599.922303,1000,183.912063
-597.817786,1000,188.55791
-599.585856,1000,193.194352
-599.298142,1000,197.651412
-599.925945,1000,202.250659
-599.769935,1000,206.9914
-599.147219,1000,211.638054
-599.691358,1000,216.069051
-599.461181,1000,220.752877
-599.492785,1000,225.393782
-597.979351,1000,230.003691
-599.248069,1000,234.494268
-598.805156,1000,239.221982
-599.352862,1000,243.998793
-598.06159,1000,248.687515
400.601692,1000,253.17032
-597.771795,1000,258.039952
-598.093812,1000,262.720514
-599.139291,1000,267.484458
-598.243806,1000,272.057741
-598.840138,1000,276.753607
-598.85893,1000,281.320235
-599.68163,1000,285.983819
-599.214775,1000,290.453832
-599.127643,1000,295.110476
-598.112824,1000,299.669023
-599.215476,1000,304.37934
-599.798379,1000,308.942104
-597.61343,1000,313.614479
-598.397606,1000,318.197859
-597.745267,1000,322.918245
-599.282022,1000,327.396296
-599.471344,1000,332.282939
-599.415277,1000,336.947235
-599.666092,1000,341.647555
-599.697571,1000,346.200348
-599.396644,1000,350.959263
-599.446792,1000,355.542652
-599.297857,1000,360.388144
-597.901514,1000,364.905671
-599.768391,1000,369.62135
-599.63134,1000,374.167593
-599.898537,1000,378.872326
-598.686449,1000,383.347365
-599.698105,1000,388.090035
-598.391218,1000,392.715134
-599.503919,1000,397.764726
-599.893204,1000,402.314465
401.091458,1000,407.106168
-599.375204,1000,411.714876
-599.488644,1000,416.5047
-599.313185,1000,421.171605
-599.414338,1000,425.875199
-598.636019,1000,430.524375
-598.865378,1000,435.261381
-599.245235,1000,439.85669
-597.865753,1000,444.636222
-598.78869,1000,449.234794
-598.745824,1000,453.907299
-599.456462,1000,458.455531
-597.923195,1000,463.266988
-599.878649,1000,467.837709
-598.779818,1000,472.665732
-598.178496,1000,477.254983
-599.841978,1000,482.001688
-597.730358,1000,486.612603
-599.882816,1000,491.341652
-599.816548,1000,495.971783
-599.680577,1000,500.743303
-598.009837,1000,505.290733
-599.367825,1000,510.006936
-599.527935,1000,514.620642
-599.799508,1000,519.470772
401.605974,1000,524.027219
-599.600521,1000,528.950487
-597.971435,1000,533.522569
-598.475787,1000,538.327401
-599.506754,1000,542.8076
-599.709792,1000,547.598213
401.753553,1000,552.124403
-599.427351,1000,557.316177
-598.221062,1000,561.829883
-599.802471,1000,566.688743
-598.597318,1000,571.340606
-599.244002,1000,576.177504
401.307952,1000,580.599983
-599.31075,1000,585.371058
-598.034416,1000,589.939427
-597.728264,1000,594.788561
-598.17517,1000,599.282265
-599.023444,1000,604.155072
-599.419035,1000,608.759492
-599.048941,1000,613.610567
-598.727994,1000,618.148489
-598.791677,1000,622.983997
-598.840007,1000,627.611674
-598.761151,1000,632.617311
-598.624294,1000,637.693803
-599.349332,1000,642.775113
-598.573918,1000,647.383968
-598.841907,1000,652.137367
-600.0,1000,656.884113
-599.44274,1000,661.82816
-599.907859,1000,666.424184
-599.998577,1000,671.289864
-600.0,1000,676.019805
-599.904996,1000,681.124665
-599.999997,1000,685.986679
-599.945687,1000,690.858049
-599.999866,1000,695.511263
-599.997868,1000,700.445029
-599.903382,1000,705.05809
-600.0,1000,710.002523
-600.0,1000,714.690018
-600.0,1000,720.248603
-599.999998,1000,725.322864
-600.0,1000,730.275681
-599.692805,1000,734.983413
-599.769874,1000,739.964686
-600.0,1000,744.468803
-600.0,1000,749.468084
-599.981392,1000,754.175627
-599.580988,1000,759.187939
-600.0,1000,763.871903
-599.998667,1000,769.001724
-600.0,1000,773.98126
-599.999958,1000,779.57396
-599.9952,1000,784.910803
-599.999983,1000,790.57336
-599.999999,1000,795.693543
-599.999995,1000,800.661138
-599.944935,1000,805.329016
-599.686096,1000,810.463241
-600.0,1000,815.115048
-600.0,1000,820.076188
-599.631877,1000,824.750363
-599.99997,1000,829.855734
-599.982558,1000,834.575259
-598.630128,1000,840.007636
-599.608056,1000,844.710319
-599.999217,1000,849.696635
-599.999996,1000,854.28427
-599.995861,1000,859.353228
-600.0,1000,864.102091
-599.899418,1000,869.288336
-599.864283,1000,874.058515
-598.675956,1000,879.126176
-599.59941,1000,883.829792
-599.420063,1000,888.81024
-599.70986,1000,893.465375
-599.934489,1000,898.512987
-599.814182,1000,903.171751
-599.808281,1000,908.127056
-599.582251,1000,912.822563
-599.998528,1000,917.946704
-600.0,1000,922.594441
-599.515217,1000,927.557763
-599.974526,1000,932.282253
-599.998559,1000,937.375266
-599.999912,1000,941.959426
-599.810689,1000,946.954337
-600.0,1000,951.652419
-599.89539,1000,956.883138
-599.999283,1000,961.652428
-599.999999,1000,966.776158
-599.555124,1000,971.45464
-599.899893,1000,976.434502
-599.546996,1000,980.939754
-599.477564,1000,986.204797
-599.786163,1000,990.871566
-599.986904,1000,995.954156
-599.273134,1000,1000.540272
-598.785374,1000,1005.993159
-599.078858,1000,1010.754584
401.033224,1000,1015.820365
-599.819318,1000,1020.474547
401.451091,1000,1025.591683
-599.492566,1000,1030.208191
401.223715,1000,1035.140979
-599.470783,1000,1039.954257
-599.908418,1000,1045.269139
-599.378855,1000,1050.204459
-599.61932,1000,1055.47803
-599.429562,1000,1060.298167
-599.815878,1000,1065.680318
-599.682419,1000,1070.556202
-599.695655,1000,1075.700018
-599.53885,1000,1080.33795
-599.244615,1000,1085.393135
-599.658274,1000,1089.924822
-599.394974,1000,1095.065451
-599.111378,1000,1099.870009
-599.527719,1000,1105.060363
-599.533238,1000,1109.863314
-599.746611,1000,1115.561627
-599.630001,1000,1120.36459
-599.673405,1000,1125.424407
-599.143892,1000,1130.060262
-599.659474,1000,1135.199663
-599.536266,1000,1139.870247
-599.754658,1000,1144.918498
-599.95932,1000,1149.601119
-599.843235,1000,1154.764855
-599.637286,1000,1159.414307
-599.996953,1000,1164.487841
-599.519665,1000,1169.152078
-599.083559,1000,1174.394922
-598.282635,1000,1179.078093
-599.548108,1000,1184.164254
-599.46487,1000,1188.836255
-599.869884,1000,1194.05221
-599.073857,1000,1198.61863
-599.031593,1000,1203.840644
-599.451699,1000,1208.556091
-599.695009,1000,1213.765023
-599.295302,1000,1218.360894
-599.634581,1000,1223.505952
-599.409583,1000,1228.164646
-599.53828,1000,1233.300821
-599.649021,1000,1237.822932
-599.987251,1000,1242.99764
-599.357425,1000,1247.718905
-599.560165,1000,1252.869796
-599.329502,1000,1257.46478
-599.056976,1000,1262.727145
-599.692834,1000,1267.386844
-598.140359,1000,1272.485015
-598.656484,1000,1277.095072
-598.588078,1000,1282.529981
-599.008905,1000,1287.46374
-598.84004,1000,1292.604153
-599.997298,1000,1297.273111
-599.099917,1000,1302.512518
-599.133561,1000,1307.182224
-599.898518,1000,1312.284054
-599.325694,1000,1317.073514
-598.601721,1000,1322.307136
-598.537998,1000,1327.410621
-598.491424,1000,1332.708522
