episodes,steps,total reward
9,10000,0.0
20,20000,2.0
31,30000,2.0
42,40000,2.0
52,50000,1.0
66,60000,5.0
78,70000,2.0
92,80000,5.0
105,90000,3.0
119,100000,5.0
136,110000,8.0
149,120000,4.0
165,130000,8.0
184,140000,11.0
198,150000,5.0
218,160000,10.0
236,170000,9.0
258,180000,12.0
276,190000,9.0
296,200000,11.0
318,210000,13.0
339,220000,11.0
365,230000,18.0
385,240000,11.0
406,250000,12.0
429,260000,14.0
454,270000,16.0
478,280000,15.0
506,290000,20.0
529,300000,14.0
558,310000,20.0
586,320000,20.0
616,330000,22.0
646,340000,22.0
678,350000,24.0
716,360000,30.0
749,370000,25.0
798,380000,41.0
838,390000,33.0
879,400000,33.0
938,410000,51.0
979,420000,34.0
1028,430000,41.0
1079,440000,45.0
1139,450000,53.0
1198,460000,53.0
1259,470000,57.0
1309,480000,44.0
1378,490000,63.0
1439,500000,55.0
1535,510000,92.0
1599,520000,60.0
1669,530000,66.0
1798,540000,126.0
1920,550000,119.0
2068,560000,146.0
2246,570000,176.0
2418,580000,170.0
2639,590000,221.0
2853,600000,213.0
3099,610000,246.0
3336,620000,237.0
3538,630000,201.0
3754,640000,215.0
3999,650000,245.0
4235,660000,236.0
4428,670000,192.0
4674,680000,245.0
4922,690000,248.0
5147,700000,224.0
5381,710000,234.0
5628,720000,247.0
5865,730000,237.0
6113,740000,248.0
6359,750000,246.0
6599,760000,240.0
6849,770000,250.0
7084,780000,235.0
7330,790000,246.0
7577,800000,247.0
7824,810000,247.0
8048,820000,223.0
8294,830000,246.0
8542,840000,248.0
8789,850000,247.0
9015,860000,225.0
9262,870000,247.0
9509,880000,247.0
9758,890000,249.0
10006,900000,248.0
10252,910000,246.0
10499,920000,247.0
10747,930000,248.0
10994,940000,247.0
11241,950000,247.0
11489,960000,248.0
11739,970000,250.0
11986,980000,247.0
12234,990000,248.0
12479,1000000,245.0
12727,1010000,248.0
12972,1020000,245.0
13218,1030000,246.0
13466,1040000,248.0
13715,1050000,249.0
13962,1060000,247.0
14210,1070000,248.0
14459,1080000,249.0
14705,1090000,246.0
14953,1100000,248.0
15200,1110000,247.0
15448,1120000,248.0
15694,1130000,246.0
15940,1140000,246.0
16187,1150000,247.0
16433,1160000,246.0
16682,1170000,249.0
16927,1180000,245.0
17175,1190000,248.0
17420,1200000,245.0
17668,1210000,248.0
17918,1220000,250.0
18166,1230000,248.0
18413,1240000,247.0
18658,1250000,245.0
18905,1260000,247.0
19154,1270000,249.0
19400,1280000,246.0
19648,1290000,248.0
19895,1300000,247.0
20139,1310000,244.0
20389,1320000,250.0
20638,1330000,250.0
20885,1340000,246.0
21129,1350000,244.0
21378,1360000,249.0
21608,1370000,230.0
21855,1380000,247.0
22099,1390000,244.0
22348,1400000,249.0
22595,1410000,247.0
22841,1420000,246.0
23088,1430000,247.0
23334,1440000,246.0
23581,1450000,247.0
23829,1460000,248.0
24076,1470000,247.0
24323,1480000,248.0
24569,1490000,245.0
24818,1500000,249.0
25066,1510000,248.0
25302,1520000,236.0
25548,1530000,246.0
25796,1540000,248.0
26044,1550000,248.0
26292,1560000,248.0
26539,1570000,247.0
26774,1580000,235.0
27019,1590000,245.0
27266,1600000,247.0
27514,1610000,248.0
27761,1620000,248.0
28008,1630000,246.0
28255,1640000,247.0
28500,1650000,245.0
28749,1660000,249.0
28975,1670000,225.0
29223,1680000,248.0
29469,1690000,246.0
29717,1700000,248.0
29965,1710000,248.0
30211,1720000,246.0
30454,1730000,243.0
30698,1740000,244.0
30944,1750000,246.0
31190,1760000,246.0
31438,1770000,248.0
31685,1780000,247.0
31932,1790000,247.0
32179,1800000,247.0
32428,1810000,249.0
32676,1820000,248.0
32925,1830000,249.0
33175,1840000,250.0
33420,1850000,245.0
33669,1860000,249.0
33918,1870000,249.0
34168,1880000,250.0
34414,1890000,246.0
34660,1900000,246.0
34908,1910000,248.0
35156,1920000,248.0
35402,1930000,246.0
35650,1940000,248.0
35897,1950000,247.0
36144,1960000,247.0
36391,1970000,247.0
36638,1980000,247.0
36885,1990000,247.0
37130,2000000,245.0
