# {"t_start": 1598497052.4561875, "env_id": "Craft-M5-v0"} 
r,l,t
0.0,1000,1.293298
0.0,1000,2.593565
0.0,1000,3.908198
0.0,1000,5.227025
0.0,1000,6.536027
0.0,1000,7.836872
0.0,1000,9.165639
0.0,1000,10.490527
0.0,1000,11.8183
0.0,1000,13.156008
1.0,255,13.513612
0.0,1000,14.859454
0.0,1000,16.193496
1.0,55,16.26839
0.0,1000,17.596746
0.0,1000,18.973286
0.0,1000,20.453315
0.0,1000,21.832907
0.0,1000,23.205843
0.0,1000,24.70075
1.0,830,25.945419
0.0,1000,27.426152
0.0,1000,28.806767
0.0,1000,30.180704
0.0,1000,31.548612
0.0,1000,32.920973
0.0,1000,34.300915
0.0,1000,35.73146
0.0,1000,37.152577
0.0,1000,38.573048
0.0,1000,40.057856
0.0,1000,41.506683
0.0,1000,42.94354
0.0,1000,44.389792
0.0,1000,45.841122
0.0,1000,47.293854
0.0,1000,48.778046
0.0,1000,50.253429
0.0,1000,51.748261
0.0,1000,53.309883
1.0,600,54.23702
0.0,1000,55.766898
1.0,9,55.780515
0.0,1000,57.276515
0.0,1000,58.804559
0.0,1000,60.352885
0.0,1000,61.87033
0.0,1000,63.429165
0.0,1000,64.965755
0.0,1000,66.490838
1.0,113,66.663445
0.0,1000,68.201244
1.0,9,68.215144
0.0,1000,69.736527
0.0,1000,71.254751
0.0,1000,72.779441
0.0,1000,74.309616
0.0,1000,75.839231
0.0,1000,77.375238
0.0,1000,78.921966
0.0,1000,80.472809
1.0,173,80.744362
1.0,9,80.758531
0.0,1000,82.304151
0.0,1000,83.863348
0.0,1000,85.433892
0.0,1000,87.028159
0.0,1000,88.599992
0.0,1000,90.179333
0.0,1000,91.761337
1.0,65,91.865844
0.0,1000,93.498612
1.0,11,93.516488
0.0,1000,95.138842
0.0,1000,96.753687
0.0,1000,98.366197
0.0,1000,99.987125
0.0,1000,101.618532
0.0,1000,103.245234
0.0,1000,104.878832
1.0,45,104.952515
0.0,1000,106.585503
1.0,11,106.603632
0.0,1000,108.224541
0.0,1000,109.845206
0.0,1000,111.473818
0.0,1000,113.117741
0.0,1000,114.738442
0.0,1000,116.377595
0.0,1000,118.147124
1.0,675,119.293022
0.0,1000,120.907793
1.0,9,120.922599
0.0,1000,122.537337
0.0,1000,124.147106
0.0,1000,125.755206
0.0,1000,127.362094
0.0,1000,128.96195
0.0,1000,130.572906
0.0,1000,132.195565
1.0,31,132.245852
0.0,1000,133.865489
1.0,9,133.880617
0.0,1000,135.5005
0.0,1000,137.131232
0.0,1000,138.762411
0.0,1000,140.386353
0.0,1000,142.012815
1.0,746,143.295576
0.0,1000,144.951558
1.0,25,144.993367
0.0,1000,146.655589
1.0,13,146.677118
0.0,1000,148.350302
1.0,805,149.695481
0.0,1000,151.356164
0.0,1000,153.025939
1.0,362,153.639663
0.0,1000,155.322067
0.0,1000,157.005848
1.0,41,157.074676
0.0,1000,158.765733
1.0,9,158.781121
0.0,1000,160.465137
0.0,1000,162.13789
0.0,1000,163.806926
0.0,1000,165.485388
0.0,1000,167.147068
0.0,1000,168.805362
0.0,1000,170.46421
1.0,21,170.499578
0.0,1000,172.161175
1.0,9,172.176255
0.0,1000,173.874001
1.0,32,173.929583
0.0,1000,175.617429
0.0,1000,177.298832
0.0,1000,178.98235
0.0,1000,180.735585
0.0,1000,182.551202
1.0,23,182.592815
0.0,1000,184.278763
1.0,11,184.297215
1.0,19,184.329462
1.0,40,184.396889
0.0,1000,186.085358
0.0,1000,187.770956
0.0,1000,189.461213
0.0,1000,191.145854
