# {"t_start": 1598544230.3437543, "env_id": "Office-v0"} 
r,l,t
0.0,22,0.008482
0.0,34,0.019515
0.0,19,0.025575
0.0,12,0.029485
0.0,40,0.042219
0.0,54,0.059441
0.0,14,0.06393
0.0,30,0.073635
0.0,60,0.09285
0.0,74,0.116594
0.0,54,0.133744
0.0,40,0.149892
0.0,128,0.190587
0.0,34,0.201336
0.0,47,0.216262
0.0,4,0.217529
1.0,60,0.236329
0.0,54,0.253389
0.0,92,0.282164
0.0,20,0.288466
0.0,91,0.317393
0.0,105,0.350581
0.0,42,0.363966
0.0,74,0.387508
1.0,17,0.392961
0.0,53,0.409521
0.0,141,0.453595
0.0,104,0.486237
1.0,75,0.509768
0.0,14,0.514189
0.0,87,0.541473
0.0,28,0.550253
0.0,12,0.554015
0.0,177,0.609333
1.0,183,0.667089
0.0,218,0.736133
1.0,11,0.739693
0.0,66,0.760837
1.0,339,0.868737
0.0,755,1.111038
1.0,15,1.115932
1.0,94,1.145982
0.0,34,1.156913
0.0,26,1.165255
1.0,12,1.169133
0.0,38,1.181307
1.0,297,1.275529
0.0,101,1.307854
1.0,12,1.311732
0.0,48,1.327044
0.0,116,1.364212
0.0,20,1.370695
1.0,11,1.374211
1.0,165,1.425962
0.0,76,1.449964
0.0,32,1.459969
1.0,11,1.463477
1.0,54,1.480739
1.0,232,1.554868
0.0,420,1.689743
1.0,11,1.693368
1.0,69,1.715498
0.0,16,1.720663
0.0,326,1.82433
1.0,11,1.827887
1.0,49,1.843438
0.0,33,1.854073
0.0,253,1.935108
1.0,11,1.938767
1.0,59,1.957746
0.0,117,1.994851
0.0,2,1.995537
0.0,4,1.996814
1.0,149,2.044309
0.0,181,2.101381
0.0,8,2.104052
1.0,11,2.107644
1.0,78,2.132562
1.0,137,2.179173
0.0,149,2.226705
1.0,13,2.23086
0.0,91,2.259344
1.0,82,2.285214
0.0,126,2.3249
1.0,11,2.328422
1.0,30,2.337999
1.0,86,2.365026
0.0,97,2.395426
1.0,14,2.399799
1.0,34,2.410467
0.0,45,2.424604
0.0,100,2.455968
1.0,13,2.460085
1.0,37,2.471761
1.0,194,2.532826
0.0,103,2.56581
1.0,11,2.569391
1.0,49,2.585038
0.0,11,2.588608
0.0,108,2.62346
1.0,11,2.62707
1.0,42,2.640529
0.0,58,2.65899
0.0,312,2.758705
1.0,13,2.762984
1.0,40,2.775935
1.0,77,2.800877
0.0,28,2.809953
1.0,13,2.81419
1.0,25,2.82233
0.0,34,2.833367
0.0,108,2.868333
