# {"t_start": 1599141133.8921707, "env_id": "Half-Cheetah-RM11-v0"} 
r,l,t
-563.50614,1000,7.505081
-576.561769,1000,11.964444
-571.343649,1000,16.528018
-563.009797,1000,21.829511
-540.464241,1000,27.18151
-595.182825,1000,32.621043
-586.66847,1000,38.052591
-599.995601,1000,43.553286
-599.999923,1000,49.056274
-599.482804,1000,54.348247
-544.246619,1000,59.703736
-594.495058,1000,65.18592
-565.812854,1000,70.698738
-560.651525,1000,76.284056
-582.159251,1000,81.911054
-555.0802,1000,87.567945
-562.109036,1000,93.172247
-599.798392,1000,98.821039
-599.084634,1000,104.679844
-572.732239,1000,110.43858
-577.325361,1000,116.229761
-567.030913,1000,122.140253
-580.191823,1000,128.485154
-578.727924,1000,134.375113
-589.604309,1000,140.248496
-549.134058,1000,146.077401
-560.601304,1000,151.977502
-593.174722,1000,157.797381
-552.387454,1000,163.586067
-574.002171,1000,169.461428
-564.315508,1000,175.406694
-574.074482,1000,181.221457
-575.051776,1000,187.129893
-599.309446,1000,192.883735
-598.479148,1000,198.636946
-599.540866,1000,204.256468
-589.432857,1000,209.986688
-597.987054,1000,215.63785
-594.554874,1000,221.349192
-555.838943,1000,227.053395
-599.126424,1000,233.067467
-599.609958,1000,238.880773
-555.418806,1000,244.7441
-576.025434,1000,250.558507
-585.764811,1000,256.344681
-596.37815,1000,261.967107
-568.820115,1000,268.225928
-575.949307,1000,274.077104
-573.475936,1000,279.908259
-582.585705,1000,285.597633
-586.700276,1000,291.362728
-588.991607,1000,297.034384
-582.759581,1000,302.764647
-578.513687,1000,308.421062
-581.212815,1000,314.178562
-574.552223,1000,319.854266
-577.149568,1000,325.689507
-572.414877,1000,331.3407
-577.933597,1000,337.129794
424.48214,1000,342.782298
-575.924009,1000,348.52884
-578.304165,1000,354.108963
-572.28073,1000,359.837497
-581.642473,1000,365.42306
-574.18129,1000,371.231476
-576.783445,1000,376.899986
-572.96211,1000,382.684753
-590.192439,1000,388.335645
-583.09582,1000,394.149482
-593.08612,1000,399.83925
420.537172,1000,405.563562
421.812391,1000,411.200951
-561.963504,1000,416.931733
421.631971,1000,422.492238
418.51813,1000,428.363221
-596.632688,1000,433.974131
428.897187,1000,439.671736
-567.936687,1000,445.208432
-565.563256,1000,450.928347
-579.762403,1000,456.578745
-560.236633,1000,462.399654
-570.255618,1000,468.041179
-574.067562,1000,474.125924
-577.58336,1000,479.696703
-576.829248,1000,485.496615
-580.210605,1000,491.096205
-574.404332,1000,496.793524
-568.869828,1000,502.404791
-580.633448,1000,508.195813
-584.498081,1000,513.787645
-566.089758,1000,519.52444
-591.004835,1000,525.181447
-575.988715,1000,531.500862
-577.002131,1000,537.650958
-594.985113,1000,543.796109
-571.447028,1000,549.331965
-575.399713,1000,555.084049
-575.397974,1000,560.756511
-573.757461,1000,566.665593
-570.859219,1000,572.318674
-567.49626,1000,578.205978
-565.420197,1000,583.814742
-572.608202,1000,589.548771
-572.544001,1000,595.047413
-575.633822,1000,600.713619
-574.166793,1000,606.275705
-579.413061,1000,612.051037
-575.012936,1000,617.652927
-575.188768,1000,623.336045
-575.588869,1000,628.899943
-574.490125,1000,634.685673
-573.927758,1000,640.181129
-574.687881,1000,645.911942
-575.872482,1000,651.832076
-585.153105,1000,657.483805
-577.433816,1000,662.953633
-572.185952,1000,668.715566
-580.026958,1000,674.206564
423.947703,1000,679.885513
-572.795924,1000,685.336834
426.910215,1000,691.120832
425.265584,1000,696.678836
2425.114684,1000,702.462427
430.210738,1000,708.017073
430.929732,1000,713.926662
424.183028,1000,719.497574
2426.511827,1000,725.339987
1423.700031,1000,730.922998
424.833043,1000,736.725644
423.507952,1000,742.297534
2425.441048,1000,748.177875
1413.099225,1000,753.766862
1419.394478,1000,759.634794
2419.326946,1000,765.343536
2419.06468,1000,771.413355
2424.934949,1000,777.66398
2421.264553,1000,784.221673
2428.113771,1000,790.163632
2423.573063,1000,796.156533
426.179562,1000,801.870005
1435.484082,1000,807.999544
2419.714992,1000,813.890743
3419.089585,1000,820.151989
2420.373488,1000,826.030686
2418.292149,1000,832.361059
2421.730127,1000,838.409464
1420.223417,1000,844.655276
430.176646,1000,850.414842
2417.277679,1000,856.481437
1421.338799,1000,862.250965
1423.888937,1000,868.455235
2417.576238,1000,874.401505
2413.361109,1000,880.651876
2416.105829,1000,886.611663
3415.586347,1000,892.891247
2413.931209,1000,898.899628
2413.916142,1000,905.219012
2413.571911,1000,911.29275
414.800064,1000,917.725924
1421.06368,1000,923.932077
1417.660664,1000,930.524435
2414.335552,1000,936.78534
1410.949123,1000,943.269089
1410.177237,1000,949.449802
1413.394204,1000,955.979293
1415.716261,1000,962.154368
424.969707,1000,968.634497
424.012176,1000,974.795125
425.931519,1000,981.319571
428.795064,1000,987.755223
422.720329,1000,994.456588
2412.950303,1000,1000.738261
2415.807071,1000,1007.653584
2413.245369,1000,1013.983476
2412.652776,1000,1020.645937
1424.891049,1000,1026.997533
2411.871938,1000,1033.701119
2411.718564,1000,1040.058387
1421.213185,1000,1046.659383
3410.333732,1000,1052.931603
2411.981227,1000,1059.906037
2413.809288,1000,1066.848391
2411.081788,1000,1074.157094
2411.167317,1000,1081.106403
2410.909795,1000,1088.238288
3412.123948,1000,1094.673646
2410.145514,1000,1101.507513
2412.495479,1000,1107.946404
2413.655506,1000,1114.617127
3410.894724,1000,1121.038614
2409.320558,1000,1127.750171
2411.722818,1000,1134.156904
2413.452968,1000,1140.976517
2412.255886,1000,1147.440847
2409.506209,1000,1154.215071
3412.22642,1000,1160.635726
2414.188701,1000,1167.466722
2413.751279,1000,1173.896279
2412.260454,1000,1180.757627
2412.211909,1000,1187.146748
3414.401073,1000,1193.878216
2414.104153,1000,1200.60895
2416.465372,1000,1208.024327
3415.63952,1000,1214.515464
2417.278483,1000,1221.307153
2413.668638,1000,1227.619581
2420.682476,1000,1234.351541
3414.094475,1000,1240.722637
2413.842549,1000,1247.50422
2415.552672,1000,1254.159082
3416.037971,1000,1261.241255
3416.76736,1000,1267.673063
3419.478755,1000,1274.63278
3417.178237,1000,1281.07107
3419.951968,1000,1288.017705
3418.813175,1000,1294.320963
3416.937146,1000,1301.158311
3418.255816,1000,1307.625838
2416.020083,1000,1314.50266
3417.345356,1000,1320.926602
3416.293233,1000,1327.784127
3418.638794,1000,1334.2921
3417.470282,1000,1341.509692
2417.757148,1000,1348.054178
3417.960843,1000,1355.011489
3416.039942,1000,1361.475796
3418.455219,1000,1368.452511
2419.256364,1000,1375.093106
3420.702033,1000,1382.179469
3418.964595,1000,1388.796977
2417.275507,1000,1395.771877
2419.163356,1000,1402.222833
3421.696219,1000,1409.125816
2419.573016,1000,1415.579685
3420.542334,1000,1422.427405
1411.415246,1000,1428.823809
2419.943459,1000,1435.721585
3418.293943,1000,1442.183731
3421.200277,1000,1449.550338
3421.82289,1000,1456.540037
3419.76583,1000,1464.012881
3420.002168,1000,1471.062133
3418.298488,1000,1478.091211
410.293886,1000,1484.615032
3417.154007,1000,1491.484953
3421.30771,1000,1497.881937
1422.371373,1000,1504.788027
4416.967266,1000,1511.200149
3417.397269,1000,1518.070975
402.959593,1000,1524.377272
4417.792053,1000,1531.311368
3420.393898,1000,1537.813433
3418.297709,1000,1544.765876
1427.745165,1000,1551.13817
3417.76846,1000,1557.990841
3420.91665,1000,1564.427757
3418.201348,1000,1571.312937
3420.033878,1000,1577.780337
4419.853974,1000,1584.847862
3417.755536,1000,1591.400182
404.239145,1000,1598.44411
3424.196618,1000,1604.883413
3420.191757,1000,1611.853503
4417.061371,1000,1618.248792
4416.164653,1000,1625.155457
3418.4959,1000,1631.656522
2425.076033,1000,1638.750546
4415.585917,1000,1645.571172
4419.203377,1000,1652.442756
4417.300043,1000,1658.792006
4420.310336,1000,1665.675619
4421.096958,1000,1672.050083
4419.832387,1000,1678.95296
4419.072121,1000,1685.565454
4417.23091,1000,1693.041136
4415.954201,1000,1699.629342
4419.818396,1000,1706.670851
4415.50767,1000,1713.044579
4417.90184,1000,1719.975149
3414.55968,1000,1726.318899
4417.253921,1000,1733.355944
4414.214377,1000,1739.72279
2412.145944,1000,1746.649953
4413.848646,1000,1753.044692
4417.264113,1000,1760.066899
3414.624993,1000,1766.990005
4417.574148,1000,1774.29382
4417.38695,1000,1780.552546
3420.169044,1000,1787.49254
4416.775346,1000,1793.754181
4417.667916,1000,1800.583229
5421.676647,1000,1806.96367
5421.106798,1000,1813.969244
5418.741316,1000,1820.383735
4417.508783,1000,1827.233948
5417.5998,1000,1833.422978
4417.13181,1000,1840.306185
5419.100636,1000,1846.936956
5416.950929,1000,1854.097014
4414.576014,1000,1860.444759
5418.390625,1000,1867.484303
4421.232288,1000,1873.934054
5420.339817,1000,1880.986112
5420.505187,1000,1887.55017
5415.296789,1000,1894.582953
5414.146793,1000,1901.481145
5419.507113,1000,1909.126327
5419.504251,1000,1916.16721
5418.57283,1000,1923.817668
5417.743372,1000,1930.862806
5419.542184,1000,1938.542961
5419.977422,1000,1945.584304
5421.389172,1000,1953.2804
5419.357375,1000,1960.350497
5418.044108,1000,1968.052901
5417.988229,1000,1975.130213
5420.065476,1000,1982.603231
5420.843013,1000,1989.122821
5433.836976,1000,1996.263963
2468.91705,1000,2002.777766
5421.91064,1000,2009.882172
5422.929746,1000,2016.350839
4415.647902,1000,2023.396599
4415.787604,1000,2029.795724
5413.388832,1000,2036.778899
5416.302922,1000,2043.16396
5416.237485,1000,2050.207813
4416.643171,1000,2056.4478
5421.361686,1000,2063.424156
5416.203171,1000,2069.706117
5414.833476,1000,2076.729874
5419.654094,1000,2083.135577
4421.158649,1000,2090.172056
5418.195213,1000,2096.664209
5417.241025,1000,2103.834293
5416.96035,1000,2110.26051
5419.026692,1000,2117.330033
5419.366146,1000,2123.66831
5423.861742,1000,2130.782968
5420.235215,1000,2137.218719
5418.82547,1000,2144.301665
5425.233796,1000,2150.801027
5417.455,1000,2157.897848
5420.08598,1000,2164.279212
5424.587786,1000,2171.336577
5420.132646,1000,2177.770732
5416.40777,1000,2184.920615
5419.203258,1000,2191.387797
5425.629517,1000,2198.529175
5424.317931,1000,2204.86681
5418.667022,1000,2212.063116
5422.508666,1000,2218.626299
5423.824134,1000,2225.872887
5420.09105,1000,2232.478186
5420.347268,1000,2239.659569
5416.063568,1000,2246.1866
5419.092919,1000,2253.448128
5423.437584,1000,2260.372795
5421.433484,1000,2268.206423
5416.493258,1000,2275.323703
5423.00327,1000,2283.125326
5417.562763,1000,2290.23925
5420.904273,1000,2297.510623
5419.045981,1000,2303.995984
5420.202195,1000,2311.218084
5420.454908,1000,2317.869943
5422.402992,1000,2325.140576
5415.603232,1000,2331.629396
5426.521217,1000,2338.798297
5424.228686,1000,2345.259379
5421.632208,1000,2352.450752
5419.600963,1000,2359.066685
6424.870771,1000,2366.958605
5422.159798,1000,2374.085822
5426.62062,1000,2381.896313
5420.368587,1000,2388.960083
5417.26119,1000,2396.269077
5418.862247,1000,2402.806963
5420.637924,1000,2410.067811
5421.769391,1000,2416.398445
5424.629634,1000,2423.600526
5420.882043,1000,2430.143694
5421.488739,1000,2437.540012
5417.509854,1000,2444.060332
5422.539238,1000,2451.417327
5423.980053,1000,2457.849662
5426.448777,1000,2465.076014
5425.226437,1000,2471.516659
5418.654409,1000,2478.715487
6419.457202,1000,2485.187738
5421.408728,1000,2492.613413
5425.031952,1000,2498.990164
5424.009754,1000,2506.231833
6422.9369,1000,2512.714371
6418.866425,1000,2519.895512
5423.24633,1000,2526.411957
5419.424093,1000,2533.801973
5427.523853,1000,2540.236704
6422.032545,1000,2547.331481
5415.94092,1000,2553.731761
6420.299296,1000,2560.911745
5419.658841,1000,2567.231844
5420.687322,1000,2574.619893
5419.755773,1000,2581.096566
6427.069787,1000,2588.372329
5422.625155,1000,2595.405178
5418.923777,1000,2603.305402
5425.739175,1000,2610.387728
5419.865955,1000,2617.56259
5425.680196,1000,2623.864947
6420.179191,1000,2631.082481
5424.366773,1000,2637.54472
6422.502959,1000,2644.777155
5420.549814,1000,2651.141767
5425.664086,1000,2658.364472
5419.53801,1000,2664.750915
5420.653463,1000,2671.989024
5427.241697,1000,2678.381954
6419.174404,1000,2685.614538
6417.301485,1000,2692.382573
5426.940289,1000,2700.17766
5423.085177,1000,2707.207476
5423.294727,1000,2715.046465
6422.408989,1000,2722.036765
5428.082616,1000,2729.84906
5422.596361,1000,2736.83505
5431.475593,1000,2744.647861
5419.649423,1000,2751.632293
6421.591889,1000,2759.451369
5428.385496,1000,2766.342848
5422.120972,1000,2773.679069
6427.626264,1000,2780.074329
6420.27679,1000,2787.291965
6426.542437,1000,2793.692682
6426.231414,1000,2800.980067
5425.350823,1000,2807.474532
5422.62936,1000,2814.891444
5422.31836,1000,2821.426856
5426.390465,1000,2828.822617
5426.998854,1000,2835.418455
6424.788328,1000,2842.888611
