# {"t_start": 1598493243.3152804, "env_id": "Craft-M10-v0"} 
r,l,t
0.0,1000,1.301725
0.0,1000,2.599281
0.0,1000,3.889755
0.0,1000,5.20691
0.0,1000,6.519457
0.0,1000,7.823498
0.0,1000,9.145102
0.0,1000,10.456252
0.0,1000,11.77867
0.0,1000,13.089539
0.0,1000,14.406768
0.0,1000,15.746857
0.0,1000,17.083224
0.0,1000,18.427757
0.0,1000,19.789131
0.0,1000,21.148777
0.0,1000,22.514368
1.0,398,23.058739
0.0,1000,24.420152
0.0,1000,25.80672
0.0,1000,27.214138
0.0,1000,28.604178
0.0,1000,30.001972
1.0,766,31.088052
0.0,1000,32.495091
0.0,1000,33.896991
0.0,1000,35.304949
1.0,399,35.881831
0.0,1000,37.29994
0.0,1000,38.712078
1.0,470,39.378663
1.0,84,39.500746
0.0,1000,40.918013
1.0,52,40.991786
1.0,745,42.057385
0.0,1000,43.49401
0.0,1000,44.920018
0.0,1000,46.359362
0.0,1000,47.804763
0.0,1000,49.268535
1.0,711,50.295315
1.0,282,50.701187
1.0,314,51.155353
0.0,1000,52.594182
0.0,1000,54.03318
0.0,1000,55.468413
0.0,1000,56.908491
0.0,1000,58.353052
0.0,1000,59.791774
0.0,1000,61.220292
1.0,725,62.267363
1.0,255,62.636683
1.0,704,63.652493
1.0,666,64.62276
1.0,997,66.06612
0.0,1000,67.513716
0.0,1000,68.966074
0.0,1000,70.420503
0.0,1000,71.859424
0.0,1000,73.307679
0.0,1000,74.745409
1.0,296,75.170917
0.0,1000,76.613064
0.0,1000,78.056328
0.0,1000,79.502397
0.0,1000,80.954493
0.0,1000,82.403814
0.0,1000,83.85942
0.0,1000,85.314254
0.0,1000,86.785924
1.0,279,87.194417
0.0,1000,88.644189
0.0,1000,90.090532
1.0,74,90.197804
0.0,1000,91.645308
0.0,1000,93.08109
0.0,1000,94.528187
1.0,556,95.327922
0.0,1000,96.774729
0.0,1000,98.224376
0.0,1000,99.670121
1.0,708,100.694134
0.0,1000,102.142012
0.0,1000,103.595231
0.0,1000,105.046191
0.0,1000,106.50031
0.0,1000,107.952421
1.0,338,108.442201
0.0,1000,109.891705
0.0,1000,111.345465
1.0,778,112.470776
1.0,156,112.698477
1.0,250,113.070054
1.0,88,113.209469
0.0,1000,114.674905
1.0,590,115.538444
0.0,1000,117.010388
1.0,107,117.167132
0.0,1000,118.636989
0.0,1000,120.096808
1.0,552,120.90107
1.0,395,121.481512
0.0,1000,122.941909
1.0,372,123.485854
0.0,1000,124.958353
0.0,1000,126.416196
0.0,1000,127.869144
1.0,100,128.014575
0.0,1000,129.474952
0.0,1000,130.925179
0.0,1000,132.382934
1.0,461,133.048957
0.0,1000,134.502892
1.0,935,135.860915
0.0,1000,137.313607
0.0,1000,138.760787
0.0,1000,140.216049
1.0,171,140.465801
0.0,1000,141.918448
0.0,1000,143.382493
1.0,695,144.396876
1.0,44,144.461795
0.0,1000,145.931796
1.0,26,145.97007
1.0,648,146.910444
0.0,1000,148.369432
0.0,1000,149.820809
1.0,649,150.765515
0.0,1000,152.221251
0.0,1000,153.675143
0.0,1000,155.127439
1.0,78,155.240373
1.0,699,156.26753
0.0,1000,157.721473
0.0,1000,159.179982
0.0,1000,160.633418
0.0,1000,162.100951
0.0,1000,163.568286
0.0,1000,165.028728
0.0,1000,166.480119
1.0,456,167.15296
0.0,1000,168.608202
1.0,957,170.001616
1.0,98,170.144548
0.0,1000,171.601324
0.0,1000,173.070218
0.0,1000,174.554032
0.0,1000,176.018589
0.0,1000,177.492628
0.0,1000,178.956547
0.0,1000,180.42814
0.0,1000,181.901993
0.0,1000,183.386833
1.0,28,183.428079
1.0,565,184.250011
0.0,1000,185.708374
1.0,911,187.037342
1.0,973,188.464365
0.0,1000,189.922925
0.0,1000,191.380137
1.0,400,191.958847
1.0,14,191.979225
1.0,582,192.826883
1.0,22,192.859885
0.0,1000,194.324129
0.0,1000,195.783589
0.0,1000,197.229008
1.0,338,197.720102
0.0,1000,199.184316
0.0,1000,200.640562
1.0,726,201.697748
1.0,20,201.726781
0.0,1000,203.185543
1.0,24,203.223228
0.0,1000,204.698055
0.0,1000,206.169247
1.0,980,207.601768
1.0,263,207.986588
0.0,1000,209.447925
0.0,1000,210.909724
1.0,847,212.14764
1.0,14,212.168359
1.0,880,213.453806
1.0,16,213.477467
0.0,1000,214.940606
0.0,1000,216.41045
0.0,1000,217.870778
0.0,1000,219.334466
0.0,1000,220.798498
0.0,1000,222.269359
1.0,268,222.66275
1.0,16,222.686042
0.0,1000,224.151095
1.0,16,224.17517
1.0,398,224.759355
0.0,1000,226.234872
0.0,1000,227.697247
1.0,76,227.808836
0.0,1000,229.269673
0.0,1000,230.732671
1.0,208,231.040477
1.0,20,231.070049
0.0,1000,232.541863
1.0,16,232.565618
0.0,1000,234.04922
0.0,1000,235.524244
0.0,1000,236.995194
0.0,1000,238.467844
0.0,1000,239.937608
0.0,1000,241.414431
1.0,688,242.438782
1.0,16,242.462724
1.0,70,242.567292
1.0,22,242.599882
1.0,455,243.271928
1.0,485,243.977462
0.0,1000,245.439246
1.0,56,245.521022
0.0,1000,246.983424
0.0,1000,248.455327
1.0,224,248.783056
1.0,20,248.812474
0.0,1000,250.28007
1.0,22,250.313464
1.0,517,251.077607
0.0,1000,252.5473
0.0,1000,254.026187
1.0,901,255.353068
0.0,1000,256.840198
0.0,1000,258.31594
1.0,324,258.795319
1.0,14,258.816311
1.0,308,259.271685
1.0,16,259.295213
0.0,1000,260.759722
1.0,483,261.470912
1.0,234,261.814149
1.0,26,261.852515
0.0,1000,263.329973
0.0,1000,264.818595
1.0,722,265.882514
1.0,16,265.906604
1.0,552,266.72453
1.0,18,266.751175
0.0,1000,268.215476
1.0,342,268.71954
0.0,1000,270.198182
1.0,256,270.572019
0.0,1000,272.038306
0.0,1000,273.505589
1.0,182,273.775128
1.0,18,273.801879
1.0,88,273.934097
1.0,20,273.964134
1.0,148,274.185361
1.0,927,275.567401
0.0,1000,277.035691
1.0,387,277.600224
0.0,1000,279.053926
1.0,833,280.281265
1.0,170,280.530286
1.0,20,280.560451
1.0,88,280.689687
1.0,18,280.716136
0.0,1000,282.183923
0.0,1000,283.650844
0.0,1000,285.125151
1.0,240,285.481688
0.0,1000,286.948411
0.0,1000,288.40917
1.0,122,288.588377
1.0,16,288.611734
0.0,1000,290.075814
1.0,20,290.10596
1.0,297,290.547216
0.0,1000,292.005131
0.0,1000,293.476866
0.0,1000,294.946967
0.0,1000,296.425998
0.0,1000,297.892061
1.0,96,298.032519
1.0,16,298.056
0.0,1000,299.51397
1.0,20,299.543092
1.0,227,299.873769
0.0,1000,301.344589
0.0,1000,302.802281
1.0,28,302.842787
0.0,1000,304.298559
0.0,1000,305.754397
1.0,134,305.948967
1.0,14,305.969269
0.0,1000,307.43069
