episodes,steps,total reward
11,10000,3.0
21,20000,1.0
31,30000,0.0
42,40000,1.0
53,50000,1.0
64,60000,1.0
76,70000,3.0
86,80000,1.0
99,90000,4.0
111,100000,4.0
126,110000,7.0
138,120000,2.0
154,130000,8.0
166,140000,2.0
179,150000,3.0
190,160000,3.0
206,170000,8.0
221,180000,6.0
238,190000,9.0
257,200000,10.0
275,210000,10.0
294,220000,11.0
309,230000,7.0
329,240000,11.0
347,250000,10.0
367,260000,13.0
384,270000,9.0
406,280000,15.0
434,290000,22.0
454,300000,12.0
478,310000,17.0
504,320000,18.0
535,330000,24.0
559,340000,16.0
589,350000,24.0
625,360000,29.0
656,370000,26.0
698,380000,35.0
736,390000,31.0
769,400000,27.0
806,410000,29.0
848,420000,35.0
886,430000,33.0
926,440000,34.0
966,450000,35.0
1008,460000,34.0
1048,470000,34.0
1095,480000,40.0
1134,490000,32.0
1178,500000,39.0
1228,510000,45.0
1279,520000,47.0
1339,530000,57.0
1408,540000,67.0
1458,550000,44.0
1529,560000,68.0
1591,570000,59.0
1676,580000,81.0
1739,590000,60.0
1818,600000,76.0
1899,610000,78.0
1989,620000,85.0
2099,630000,105.0
2239,640000,139.0
2389,650000,148.0
2539,660000,149.0
2669,670000,129.0
2829,680000,158.0
2997,690000,167.0
3187,700000,189.0
3395,710000,208.0
3648,720000,253.0
3899,730000,251.0
4161,740000,262.0
4421,750000,260.0
4682,760000,261.0
4940,770000,258.0
5198,780000,258.0
5459,790000,261.0
5719,800000,260.0
5979,810000,260.0
6236,820000,258.0
6467,830000,229.0
6728,840000,261.0
6966,850000,238.0
7225,860000,259.0
7486,870000,261.0
7746,880000,260.0
8009,890000,263.0
8269,900000,260.0
8531,910000,262.0
8791,920000,260.0
9055,930000,264.0
9316,940000,261.0
9579,950000,263.0
9839,960000,260.0
10104,970000,265.0
10364,980000,260.0
10624,990000,260.0
10887,1000000,263.0
11146,1010000,259.0
11408,1020000,262.0
11667,1030000,259.0
11929,1040000,262.0
12188,1050000,259.0
12448,1060000,260.0
12706,1070000,258.0
12968,1080000,262.0
13229,1090000,261.0
13495,1100000,266.0
13756,1110000,261.0
14018,1120000,262.0
14280,1130000,262.0
14543,1140000,263.0
14803,1150000,260.0
15066,1160000,263.0
15326,1170000,260.0
15586,1180000,260.0
15847,1190000,261.0
16108,1200000,261.0
16368,1210000,260.0
16628,1220000,260.0
16889,1230000,261.0
17151,1240000,262.0
17409,1250000,258.0
17669,1260000,260.0
17928,1270000,259.0
18189,1280000,261.0
18448,1290000,259.0
18712,1300000,264.0
18962,1310000,250.0
19224,1320000,262.0
19484,1330000,260.0
19745,1340000,261.0
20006,1350000,261.0
20266,1360000,260.0
20526,1370000,260.0
20788,1380000,262.0
21049,1390000,261.0
21310,1400000,261.0
21574,1410000,264.0
21833,1420000,259.0
22095,1430000,262.0
22336,1440000,241.0
22597,1450000,261.0
22858,1460000,261.0
23118,1470000,260.0
23380,1480000,262.0
23644,1490000,265.0
23907,1500000,262.0
24168,1510000,261.0
24429,1520000,261.0
24691,1530000,262.0
24953,1540000,262.0
25212,1550000,259.0
25474,1560000,262.0
25736,1570000,262.0
25997,1580000,261.0
26258,1590000,261.0
26520,1600000,262.0
26780,1610000,260.0
27041,1620000,261.0
27305,1630000,264.0
27566,1640000,261.0
27825,1650000,259.0
28086,1660000,261.0
28346,1670000,260.0
28608,1680000,262.0
28871,1690000,263.0
29134,1700000,263.0
29395,1710000,261.0
29654,1720000,259.0
29917,1730000,263.0
30179,1740000,262.0
30442,1750000,263.0
30705,1760000,263.0
30966,1770000,261.0
31229,1780000,263.0
31489,1790000,260.0
31752,1800000,263.0
32014,1810000,262.0
32275,1820000,261.0
32538,1830000,263.0
32799,1840000,261.0
33060,1850000,261.0
33324,1860000,264.0
33584,1870000,260.0
33846,1880000,262.0
34108,1890000,262.0
34371,1900000,263.0
34631,1910000,260.0
34895,1920000,264.0
35156,1930000,261.0
35418,1940000,262.0
35680,1950000,262.0
35944,1960000,264.0
36206,1970000,262.0
36469,1980000,263.0
36731,1990000,262.0
36990,2000000,259.0
