# {"t_start": 1598544462.622901, "env_id": "Office-v0"} 
r,l,t
0.0,18,0.007143
0.0,43,0.020542
0.0,32,0.03049
0.0,16,0.0355
0.0,13,0.039583
0.0,59,0.058003
0.0,12,0.061748
0.0,23,0.068877
0.0,54,0.085636
0.0,37,0.097176
0.0,143,0.141777
0.0,35,0.15269
1.0,138,0.198762
0.0,87,0.225899
0.0,20,0.232171
0.0,74,0.255264
0.0,34,0.265822
0.0,29,0.274839
0.0,95,0.304293
0.0,74,0.327157
0.0,40,0.339523
0.0,32,0.34943
0.0,130,0.389829
0.0,22,0.396661
0.0,47,0.411216
0.0,49,0.426423
0.0,12,0.430158
0.0,117,0.466334
1.0,24,0.473818
0.0,110,0.507907
0.0,150,0.55468
0.0,68,0.575958
1.0,72,0.59877
0.0,18,0.60448
0.0,228,0.676188
0.0,13,0.680324
1.0,21,0.686869
0.0,128,0.726813
1.0,155,0.775067
0.0,102,0.806933
0.0,14,0.811315
0.0,80,0.836046
0.0,5,0.837634
0.0,303,0.931547
0.0,42,0.944691
0.0,2,0.945345
0.0,27,0.953783
0.0,36,0.965046
1.0,51,0.980955
0.0,16,0.9861
0.0,97,1.016316
0.0,56,1.033821
0.0,16,1.038842
0.0,14,1.043222
0.0,23,1.05037
0.0,124,1.08903
1.0,30,1.098442
0.0,24,1.105955
0.0,361,1.218962
1.0,155,1.267401
1.0,12,1.271195
0.0,148,1.3174
0.0,41,1.330228
0.0,6,1.33214
1.0,12,1.335922
1.0,161,1.386257
0.0,63,1.406049
0.0,20,1.412346
1.0,11,1.415812
1.0,70,1.437615
1.0,352,1.547645
0.0,674,1.759082
1.0,11,1.762562
0.0,150,1.809398
1.0,211,1.876148
0.0,14,1.880709
1.0,12,1.884606
0.0,86,1.912453
0.0,46,1.927403
0.0,107,1.961493
1.0,11,1.964976
0.0,185,2.022864
1.0,69,2.044455
0.0,14,2.048871
1.0,12,2.052652
1.0,92,2.08141
1.0,190,2.140836
0.0,100,2.172151
