# {"t_start": 1599268772.0082798, "env_id": "Half-Cheetah-RM12-v0"} 
r,l,t
-549.738624,1000,7.180299
-564.366252,1000,11.612285
-575.210318,1000,16.044978
-594.775265,1000,20.470253
-592.754993,1000,24.918695
-598.436768,1000,29.911068
-559.789109,1000,34.964823
-585.844605,1000,40.025102
-599.999985,1000,45.10761
-599.900098,1000,50.168258
-599.981526,1000,55.011399
590.097262,708,58.445782
-599.241404,1000,63.012184
-599.737657,1000,67.533436
-571.820245,1000,72.076426
-574.037993,1000,76.563192
-599.999996,1000,80.973127
-585.944513,1000,85.317408
-599.99967,1000,89.855869
-598.777273,1000,94.323929
-599.99909,1000,98.85077
-599.979179,1000,103.353058
-599.94118,1000,107.903877
-599.990873,1000,112.453574
-599.643724,1000,117.047127
-599.999989,1000,121.541049
-598.830599,1000,126.116903
-585.542572,1000,130.656113
-599.996875,1000,135.216888
-598.244011,1000,139.798094
-568.57022,1000,144.538056
-594.402439,1000,149.182937
-591.085914,1000,153.838657
-598.100448,1000,158.377793
-599.999997,1000,163.235192
-591.484047,1000,168.004051
-599.671413,1000,172.757132
-600.0,1000,177.444223
-599.999997,1000,182.229521
-599.999988,1000,187.001883
-599.99999,1000,191.828589
-575.950389,1000,196.517773
-599.912033,1000,201.308491
-596.638258,1000,206.044806
-599.999993,1000,210.866372
-598.674872,1000,215.666529
-599.999997,1000,220.561196
-599.988251,1000,225.468323
-599.971819,1000,230.398375
-599.999267,1000,235.293139
-596.291376,1000,239.999602
-600.0,1000,244.663691
-593.700018,1000,250.140295
-599.698301,1000,255.048151
-598.668652,1000,260.622159
-599.99999,1000,266.157503
-581.735403,1000,271.626821
-599.91873,1000,277.423804
-599.853382,1000,283.199159
-599.992044,1000,287.973359
821.916747,298,289.85548
-599.80262,1000,295.411515
-599.914373,1000,301.214545
-599.999394,1000,306.850125
-600.0,1000,312.488106
-599.924727,1000,318.006014
-599.857608,1000,323.709369
-599.99959,1000,329.386405
-588.336687,1000,335.090947
-597.511266,1000,340.636429
-599.998429,1000,346.525507
-600.0,1000,352.259658
-599.301705,1000,358.03412
-599.999996,1000,363.624849
-599.975027,1000,369.332815
-595.679959,1000,374.896982
-599.532967,1000,380.693727
-599.99983,1000,386.368541
-598.691478,1000,392.070377
-599.992306,1000,397.648288
-600.0,1000,403.522375
-599.789725,1000,409.428792
-599.999999,1000,415.250296
-597.769697,1000,420.896671
-600.0,1000,426.682016
-599.841312,1000,432.326604
-599.83171,1000,438.172508
-599.972226,1000,443.746535
-596.137203,1000,449.594896
-599.078643,1000,455.794558
-599.981926,1000,461.798907
-600.0,1000,467.431185
-599.917966,1000,473.323355
-600.0,1000,479.059262
-595.593853,1000,484.982032
-599.319854,1000,490.72487
-598.66156,1000,496.6028
-576.147715,1000,502.253387
-600.0,1000,508.203079
-599.40859,1000,513.943482
-598.399979,1000,519.906778
-594.545096,1000,525.66485
-599.999918,1000,531.601674
-597.095034,1000,537.304889
-583.3341,1000,543.167137
635.326116,614,546.596435
-599.999019,1000,552.294627
-580.906939,1000,558.160913
-599.99123,1000,563.987715
-598.318596,1000,569.931358
-585.201625,1000,575.698549
-599.995775,1000,581.640497
-579.38558,1000,587.375751
-600.0,1000,593.404362
-599.896411,1000,599.208101
-587.264391,1000,605.240733
-596.479097,1000,610.93996
-599.967477,1000,616.788607
-600.0,1000,622.40481
-599.447735,1000,628.308835
-592.809924,1000,633.938829
-599.999996,1000,639.81646
-596.966894,1000,645.495636
-600.0,1000,651.550421
-599.991797,1000,657.264818
-599.999889,1000,663.256561
728.503448,458,665.623324
-599.372642,1000,671.679727
-599.999813,1000,677.373934
498.378884,849,682.369215
-598.670172,1000,688.321958
-597.203838,1000,694.378439
-593.403367,1000,701.01975
-591.55963,1000,707.203794
-599.999856,1000,713.412868
-588.515101,1000,719.305563
465.054092,907,724.543608
-599.999974,1000,730.364446
-599.998286,1000,736.491153
-599.649053,1000,742.457264
-595.677379,1000,748.676253
-599.994465,1000,754.661801
-597.950597,1000,761.062504
-600.0,1000,767.138405
-599.999161,1000,773.51196
-600.0,1000,779.747563
-599.996519,1000,786.187065
-600.0,1000,792.535386
-598.914934,1000,799.219191
-599.14938,1000,805.542637
-600.0,1000,812.120491
