episodes,steps,total reward
11,10000,3.0
21,20000,0.0
32,30000,1.0
43,40000,2.0
54,50000,2.0
65,60000,2.0
76,70000,1.0
87,80000,2.0
98,90000,1.0
109,100000,1.0
119,110000,1.0
130,120000,2.0
140,130000,0.0
151,140000,3.0
162,150000,2.0
173,160000,1.0
183,170000,0.0
193,180000,1.0
205,190000,4.0
215,200000,1.0
225,210000,1.0
235,220000,0.0
245,230000,0.0
255,240000,1.0
266,250000,1.0
276,260000,1.0
288,270000,2.0
298,280000,1.0
308,290000,1.0
318,300000,0.0
328,310000,0.0
338,320000,0.0
349,330000,2.0
360,340000,1.0
370,350000,1.0
382,360000,2.0
392,370000,1.0
403,380000,1.0
413,390000,1.0
423,400000,0.0
434,410000,2.0
445,420000,4.0
456,430000,2.0
466,440000,0.0
476,450000,0.0
487,460000,1.0
497,470000,1.0
508,480000,2.0
518,490000,1.0
528,500000,0.0
538,510000,0.0
549,520000,1.0
562,530000,3.0
572,540000,0.0
582,550000,1.0
594,560000,2.0
605,570000,2.0
615,580000,0.0
625,590000,1.0
635,600000,0.0
645,610000,2.0
656,620000,2.0
667,630000,2.0
677,640000,1.0
687,650000,0.0
698,660000,1.0
708,670000,1.0
718,680000,1.0
729,690000,1.0
740,700000,2.0
751,710000,2.0
762,720000,1.0
772,730000,1.0
784,740000,2.0
796,750000,3.0
807,760000,2.0
817,770000,0.0
828,780000,3.0
839,790000,1.0
850,800000,1.0
862,810000,3.0
874,820000,3.0
886,830000,2.0
898,840000,4.0
910,850000,2.0
921,860000,2.0
932,870000,1.0
942,880000,0.0
955,890000,3.0
966,900000,1.0
976,910000,1.0
988,920000,2.0
998,930000,0.0
1009,940000,1.0
1020,950000,1.0
1032,960000,3.0
1044,970000,4.0
1056,980000,2.0
1068,990000,2.0
1080,1000000,2.0
1093,1010000,3.0
1105,1020000,3.0
1117,1030000,2.0
1128,1040000,1.0
1139,1050000,2.0
1152,1060000,3.0
1164,1070000,3.0
1175,1080000,1.0
1187,1090000,2.0
1198,1100000,2.0
1209,1110000,1.0
1222,1120000,3.0
1235,1130000,3.0
1247,1140000,2.0
1259,1150000,3.0
1272,1160000,3.0
1284,1170000,2.0
1296,1180000,2.0
1308,1190000,2.0
1319,1200000,2.0
1332,1210000,3.0
1344,1220000,2.0
1355,1230000,1.0
1367,1240000,2.0
1379,1250000,2.0
1390,1260000,2.0
1403,1270000,3.0
1415,1280000,3.0
1426,1290000,2.0
1438,1300000,2.0
1450,1310000,2.0
1464,1320000,4.0
1475,1330000,2.0
1486,1340000,2.0
1498,1350000,2.0
1510,1360000,2.0
1524,1370000,4.0
1536,1380000,2.0
1548,1390000,2.0
1559,1400000,1.0
1571,1410000,2.0
1585,1420000,5.0
1597,1430000,2.0
1609,1440000,3.0
1620,1450000,2.0
1634,1460000,4.0
1646,1470000,2.0
1658,1480000,2.0
1670,1490000,2.0
1683,1500000,3.0
1694,1510000,2.0
1705,1520000,2.0
1717,1530000,2.0
1729,1540000,2.0
1742,1550000,3.0
1755,1560000,3.0
1766,1570000,2.0
1777,1580000,1.0
1789,1590000,2.0
1802,1600000,3.0
1814,1610000,4.0
1825,1620000,1.0
1837,1630000,3.0
1849,1640000,2.0
1860,1650000,1.0
1874,1660000,5.0
1886,1670000,2.0
1898,1680000,3.0
1910,1690000,2.0
1923,1700000,3.0
1935,1710000,3.0
1947,1720000,2.0
1959,1730000,2.0
1972,1740000,3.0
1984,1750000,3.0
1997,1760000,4.0
2009,1770000,3.0
2022,1780000,3.0
2033,1790000,1.0
2046,1800000,4.0
2058,1810000,2.0
2070,1820000,2.0
2082,1830000,3.0
2095,1840000,4.0
2107,1850000,2.0
2118,1860000,1.0
2129,1870000,1.0
2143,1880000,4.0
2155,1890000,3.0
2167,1900000,2.0
2179,1910000,2.0
2192,1920000,5.0
2204,1930000,2.0
2216,1940000,2.0
2228,1950000,3.0
2240,1960000,2.0
2254,1970000,4.0
2266,1980000,2.0
2277,1990000,2.0
2289,2000000,2.0
