# {"t_start": 1598492855.465702, "env_id": "Craft-M8-v0"} 
r,l,t
0.0,1000,0.072608
0.0,1000,0.1469
0.0,1000,0.218042
0.0,1000,0.289057
0.0,1000,0.359993
0.0,1000,0.431688
0.0,1000,0.502707
0.0,1000,0.573507
0.0,1000,0.644569
0.0,1000,0.715396
1.0,930,0.781654
0.0,1000,0.852476
0.0,1000,0.923586
0.0,1000,0.994476
0.0,1000,1.065964
0.0,1000,1.136731
0.0,1000,1.207971
0.0,1000,1.279561
0.0,1000,1.350887
0.0,1000,1.422206
0.0,1000,1.49335
0.0,1000,1.563933
0.0,1000,1.635306
1.0,358,1.661043
0.0,1000,1.732505
0.0,1000,1.804395
0.0,1000,1.875304
1.0,932,1.941598
0.0,1000,2.012793
0.0,1000,2.083909
0.0,1000,2.15761
0.0,1000,2.22902
0.0,1000,2.301031
0.0,1000,2.372464
0.0,1000,2.44431
0.0,1000,2.515284
0.0,1000,2.586221
0.0,1000,2.657336
0.0,1000,2.728244
0.0,1000,2.799541
0.0,1000,2.870693
0.0,1000,2.941636
0.0,1000,3.012794
0.0,1000,3.083853
0.0,1000,3.154864
0.0,1000,3.226044
0.0,1000,3.297451
0.0,1000,3.368625
0.0,1000,3.440387
0.0,1000,3.512041
0.0,1000,3.583332
0.0,1000,3.65398
0.0,1000,3.725074
0.0,1000,3.796076
0.0,1000,3.867506
0.0,1000,3.938786
0.0,1000,4.00999
0.0,1000,4.081385
0.0,1000,4.152946
0.0,1000,4.224026
1.0,886,4.287474
1.0,578,4.328728
0.0,1000,4.399648
0.0,1000,4.471263
0.0,1000,4.542564
0.0,1000,4.614758
0.0,1000,4.688002
0.0,1000,4.762718
0.0,1000,4.834569
0.0,1000,4.906259
0.0,1000,4.977739
1.0,723,5.030659
0.0,1000,5.103109
0.0,1000,5.1752
0.0,1000,5.2473
0.0,1000,5.319262
0.0,1000,5.390685
0.0,1000,5.462962
0.0,1000,5.534763
0.0,1000,5.606743
1.0,993,5.677922
0.0,1000,5.749848
0.0,1000,5.821373
0.0,1000,5.892625
0.0,1000,5.963695
0.0,1000,6.034877
0.0,1000,6.107393
0.0,1000,6.178706
0.0,1000,6.25062
0.0,1000,6.321939
0.0,1000,6.393263
1.0,661,6.441083
1.0,991,6.512341
0.0,1000,6.583922
0.0,1000,6.655219
0.0,1000,6.72672
0.0,1000,6.798209
0.0,1000,6.869845
0.0,1000,6.94154
0.0,1000,7.012877
0.0,1000,7.084242
1.0,508,7.121101
0.0,1000,7.192649
0.0,1000,7.264659
0.0,1000,7.336501
0.0,1000,7.408143
0.0,1000,7.479896
0.0,1000,7.551681
0.0,1000,7.623011
0.0,1000,7.694913
0.0,1000,7.766692
0.0,1000,7.838024
0.0,1000,7.90942
0.0,1000,7.980726
0.0,1000,8.05231
0.0,1000,8.123781
0.0,1000,8.199019
0.0,1000,8.271311
0.0,1000,8.343302
0.0,1000,8.415101
0.0,1000,8.486539
1.0,858,8.548601
1.0,856,8.609941
0.0,1000,8.681595
0.0,1000,8.753521
0.0,1000,8.826022
0.0,1000,8.897764
