# {"t_start": 1598544286.8687537, "env_id": "Office-v0"} 
r,l,t
0.0,22,0.002935
0.0,15,0.003881
0.0,47,0.00673
0.0,51,0.009728
0.0,11,0.010396
0.0,48,0.013185
0.0,2,0.013335
0.0,8,0.013837
0.0,46,0.016505
0.0,5,0.01684
0.0,17,0.017849
0.0,25,0.019325
0.0,31,0.021126
0.0,25,0.022607
0.0,60,0.026089
0.0,57,0.029423
0.0,25,0.030897
0.0,85,0.03581
0.0,48,0.0386
0.0,12,0.039335
0.0,22,0.040632
0.0,39,0.042913
0.0,8,0.043407
0.0,4,0.043686
0.0,14,0.044508
0.0,42,0.046939
0.0,36,0.049054
0.0,11,0.049749
0.0,25,0.051235
0.0,26,0.052758
0.0,9,0.053305
0.0,50,0.056233
0.0,15,0.05709
0.0,27,0.058698
0.0,26,0.060188
0.0,11,0.060871
0.0,26,0.0624
0.0,51,0.065375
0.0,47,0.068089
0.0,37,0.070273
0.0,49,0.073105
0.0,19,0.074336
0.0,45,0.076945
0.0,52,0.079968
1.0,46,0.082662
0.0,17,0.083676
0.0,27,0.085268
0.0,39,0.087574
0.0,50,0.090453
0.0,68,0.094461
0.0,64,0.098233
0.0,12,0.098945
0.0,127,0.106279
0.0,128,0.113664
0.0,50,0.116602
0.0,12,0.117344
1.0,40,0.119652
0.0,70,0.123728
0.0,92,0.129045
0.0,27,0.130666
0.0,49,0.133501
0.0,149,0.142232
0.0,121,0.149535
0.0,69,0.153657
1.0,49,0.156547
0.0,114,0.163253
0.0,22,0.164568
0.0,91,0.169999
1.0,156,0.179224
0.0,98,0.184936
0.0,100,0.194173
0.0,27,0.19586
0.0,16,0.196784
0.0,72,0.201046
0.0,42,0.203601
0.0,46,0.206398
0.0,16,0.20737
0.0,95,0.213
0.0,42,0.215527
0.0,61,0.219142
0.0,20,0.220343
0.0,184,0.231152
0.0,23,0.23252
0.0,73,0.236835
0.0,76,0.241351
0.0,19,0.242542
0.0,56,0.245973
0.0,41,0.248426
0.0,86,0.253566
0.0,112,0.260163
0.0,42,0.262705
0.0,117,0.269582
0.0,24,0.271038
0.0,173,0.281267
0.0,111,0.28768
0.0,41,0.290082
0.0,40,0.292447
0.0,54,0.295564
0.0,52,0.298579
0.0,87,0.303565
0.0,42,0.306005
0.0,62,0.309597
0.0,64,0.313194
0.0,22,0.314449
0.0,2,0.314586
0.0,259,0.329234
0.0,76,0.333586
0.0,38,0.3358
0.0,89,0.340828
0.0,137,0.348713
0.0,89,0.353774
0.0,97,0.359355
0.0,123,0.366452
1.0,779,0.411638
0.0,151,0.420425
0.0,97,0.426046
0.0,49,0.428904
0.0,76,0.433323
0.0,34,0.435276
0.0,21,0.436516
0.0,59,0.43995
0.0,154,0.448777
0.0,90,0.453957
0.0,68,0.457831
0.0,103,0.463658
1.0,283,0.479451
0.0,24,0.480828
0.0,49,0.483718
0.0,53,0.486708
0.0,96,0.492089
0.0,94,0.497379
0.0,43,0.49979
0.0,166,0.509129
1.0,201,0.520383
0.0,28,0.521976
0.0,22,0.523236
0.0,198,0.534349
0.0,4,0.534611
0.0,21,0.535816
0.0,48,0.538534
0.0,33,0.540384
0.0,151,0.548808
0.0,118,0.555438
0.0,35,0.557408
0.0,90,0.562495
0.0,147,0.570915
0.0,146,0.579482
0.0,116,0.586469
0.0,166,0.595821
1.0,119,0.602694
0.0,194,0.613555
0.0,38,0.615717
0.0,24,0.61709
0.0,17,0.618112
0.0,153,0.626849
0.0,45,0.629457
0.0,262,0.644235
1.0,235,0.65776
0.0,39,0.66004
0.0,32,0.66193
0.0,133,0.669566
0.0,35,0.671621
0.0,102,0.677493
0.0,59,0.6809
